"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"3461","Praomys rostratus",36.97,3.5,4,5.2,81.87284,24,24.95752,"Praomys_rostratus","2438473"
"3462","Praomys tullbergi",36.97,3.5,4,5.2,81.87284,24,24.95752,"Praomys_tullbergi","2438479"
"3463","Presbytis chrysomelas",6466.75,1,-999,18,-999,-999,-999,"Presbytis_chrysomelas","7262008"
"3464","Presbytis comata",6550.07,1.005,-999,-999,-999,-999,-999,"Presbytis_comata","5219565"
"3465","Presbytis femoralis",6466.75,1,-999,18,-999,-999,-999,"Presbytis_femoralis","5219562"
"3466","Presbytis frontata",5855.05,-999,-999,-999,-999,-999,-999,"Presbytis_frontata","5219559"
"3467","Presbytis hosei",6277.78,-999,-999,-999,-999,-999,-999,"Presbytis_hosei","5219564"
"3468","Presbytis melalophos",6466.75,1,-999,18,-999,-999,-999,"Presbytis_melalophos","5219561"
"3469","Presbytis natunae",6460,1,-999,16,-999,-999,-999,"Presbytis_natunae","5707308"
"3470","Presbytis potenziani",6400,1.01,-999,-999,-999,-999,-999,"Presbytis_potenziani","5219563"
"3471","Presbytis rubicunda",6324.265,1.005,-999,7.316666667,-999,-999,-999,"Presbytis_rubicunda","5219560"
"3472","Presbytis siamensis",6460,1,-999,16,-999,-999,-999,"Presbytis_siamensis","7262013"
"3473","Presbytis thomasi",6689.99,1.005,-999,12.225,-999,-999,-999,"Presbytis_thomasi","5219558"
"3474","Priodontes maximus",45190,1.5,-999,14,320,122,35,"Priodontes_maximus","5220096"
"3475","Prionailurus bengalensis",4150,2.5,1.64,15,563.67472,66.04612,44.74092,"Prionailurus_bengalensis","2434903"
"3476","Prionailurus iriomotensis",4150,2.5,1.64,15,563.67472,66.04612,44.74092,"Prionailurus_iriomotensis","2434901"
"3477","Prionailurus planiceps",5141.88,-999,-999,14.15416667,-999,56,-999,"Prionailurus_planiceps","2434917"
"3478","Prionailurus rubiginosus",1350,2.23,-999,17.88333333,-999,67.93614,-999,"Prionailurus_rubiginosus","2434895"
"3479","Prionailurus viverrinus",10650,2,-999,17.13333333,-999,71.43,135.96,"Prionailurus_viverrinus","2434899"
"3480","Prionodon linsang",691.415,2.15,1.56,10.7,-999,-999,-999,"Prionodon_linsang","5963050"
"3481","Prionodon pardicolor",2821.34,2,1.56,13.475,-999,-999,-999,"Prionodon_pardicolor","5963054"
"3482","Prionomys batesi",12.5,-999,-999,-999,-999,-999,-999,"Prionomys_batesi","2439286"
"3483","Procapra gutturosa",28274.27,1.33,1.05,7,532.63,189.94,38.97,"Procapra_gutturosa","2441147"
"3484","Procapra picticaudata",23197.67,1,-999,5.5875,-999,175.03,-999,"Procapra_picticaudata","2441149"
"3485","Procapra przewalskii",25348.83,1,-999,5.5875,-999,175.03,-999,"Procapra_przewalskii","2441148"
"3486","Procavia capensis",2750,2.44,1,14,500,226.44942,88.25758,"Procavia_capensis","5219598"
"3487","Procolobus verus",3977.86,1.01,-999,-999,-999,167.84,-999,"Procolobus_verus","2436597"
"3488","Procyon cancrivorus",6270,2.75,-999,16.48333333,498.185,66.175,111.36,"Procyon_cancrivorus","9518324"
"3489","Procyon lotor",5075,3.39,1,20.58333333,365,63.91434,91,"Procyon_lotor","5218786"
"3490","Procyon pygmaeus",2958.03,-999,-999,-999,-999,-999,-999,"Procyon_pygmaeus","5218818"
"3491","Proechimys brevicauda",285,2.4,-999,6.733333333,147.6146,63.9156,28.60984,"Proechimys_brevicauda","2439788"
"3492","Proechimys canicollis",312.57,-999,-999,-999,-999,-999,-999,"Proechimys_canicollis","2439779"
"3493","Proechimys chrysaeolus",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_chrysaeolus","2439768"
"3494","Proechimys cuvieri",339.85,-999,-999,-999,-999,-999,-999,"Proechimys_cuvieri","2439790"
"3495","Proechimys decumanus",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_decumanus","2439781"
"3496","Proechimys goeldii",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_goeldii","2439760"
"3497","Proechimys guairae",350,2.79,4.4,5.25,85.2208,63.61124,22.21828,"Proechimys_guairae","2439772"
"3498","Proechimys guyannensis",335.265,2.28,2.61,3.5,146.1023,63.6628,28.30492,"Proechimys_guyannensis","4262966"
"3499","Proechimys hoplomyoides",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_hoplomyoides","2439784"
"3500","Proechimys longicaudatus",280.75,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_longicaudatus","2439764"
"3501","Proechimys magdalenae",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_magdalenae","2439785"
"3502","Proechimys mincae",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_mincae","2439775"
"3503","Proechimys oconnelli",427.25,2.535,4.68,4.8,146.8073,63.9578,24.95752,"Proechimys_oconnelli","2439786"
"3504","Proechimys pattoni",356.5,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_pattoni","4262967"
"3505","Proechimys poliopus",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_poliopus","2439778"
"3506","Proechimys quadruplicatus",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_quadruplicatus","2439767"
"3507","Proechimys roberti",284.99,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_roberti","4262968"
"3508","Proechimys semispinosus",498,2.535,4.68,4.8,146.8073,63.9578,24.95752,"Proechimys_semispinosus","2439789"
"3509","Proechimys simonsi",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_simonsi","2439769"
"3510","Proechimys steerei",284.99,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_steerei","2439759"
"3511","Proechimys trinitatus",356.5,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_trinitatus","4262982"
"3512","Proechimys urichi",320.745,2.4,-999,3.5,147.6146,63.9156,28.60984,"Proechimys_urichi","2439771"
"3513","Profelis aurata",10650,2,-999,19.85833333,650.61,81.34,119.32,"Profelis_aurata","5219401"
"3514","Prolagus sardus",322.55,-999,-999,-999,-999,-999,-999,"Prolagus_sardus","2436679"
"3515","Prolemur simus",1883.955,1,1,14.775,-999,141,-999,"Prolemur_simus","4266938"
"3516","Prometheomys schaposchnikowi",75,3.4,2,-999,-999,-999,21,"Prometheomys_schaposchnikowi","2438887"
"3517","Promops centralis",29.8,0.99,1,-999,-999,-999,41.99,"Promops_centralis","2433025"
"3518","Promops nasutus",15.5,-999,-999,-999,-999,-999,-999,"Promops_nasutus","2433024"
"3519","Pronolagus crassicaudatus",2180.135,1.5,-999,2.083333333,-999,-999,-999,"Pronolagus_crassicaudatus","2436924"
"3520","Pronolagus randensis",2395.87,1.3,-999,2.083333333,-999,-999,-999,"Pronolagus_randensis","2436933"
"3521","Pronolagus rupestris",2097.495,1.75,-999,2.083333333,-999,-999,-999,"Pronolagus_rupestris","2436927"
"3522","Propithecus coquereli",3622.695,1.01,1,20.6,1074.90716,145.5246,179.395,"Propithecus_coquereli","5707433"
"3523","Propithecus deckenii",3588.26,1.02,1,20.125,943.94,148,177.83,"Propithecus_deckenii","7528726"
"3524","Propithecus diadema",6414.495,1.01,0.62,11.05833333,1618.85608,166.28274,266.6188,"Propithecus_diadema","5219529"
"3525","Propithecus edwardsi",6568.99,1.01,0.62,11.05833333,1618.85608,166.28274,266.6188,"Propithecus_edwardsi","5707429"
"3526","Propithecus perrieri",6414.495,1.01,0.62,11.05833333,1618.85608,166.28274,266.6188,"Propithecus_perrieri","5707425"
"3527","Propithecus tattersalli",3545,-999,-999,20.22916667,1642.5,-999,155,"Propithecus_tattersalli","5219528"
"3528","Propithecus verreauxi",3588.26,1.02,1,19.4,943.94,148,177.83,"Propithecus_verreauxi","5219530"
"3529","Proteles cristata",8119.695,2.64,-999,19.45833333,631.37,88.2644,125.73,"Proteles_cristata","2433502"
"3530","Protochromys fellowsi",78.99,2.68,-999,-999,-999,-999,20,"Protochromys_fellowsi","4264835"
"3531","Protoxerus aubinnii",427.94,-999,-999,-999,-999,-999,-999,"Protoxerus_aubinnii","2437391"
"3532","Protoxerus stangeri",630.43,1.485,-999,5.1,-999,-999,-999,"Protoxerus_stangeri","2437390"
"3533","Przewalskium albirostris",135000,1,1,20.1,730.232,253,-999,"Przewalskium_albirostris","4262387"
"3534","Psammomys obesus",177.33,3.5,3.44,3.1375,100,24.8,27.08804,"Psammomys_obesus","5219747"
"3535","Psammomys vexillaris",177.33,3.5,3.44,3.1375,100,24.8,27.08804,"Psammomys_vexillaris","5219746"
"3536","Pseudantechinus bilarni",23.05,4.75,1,2,344.325,38.98,100.68,"Pseudantechinus_bilarni","2435383"
"3537","Pseudantechinus macdonnellensis",39.99,5.94,1,2.5,350,44.36,106,"Pseudantechinus_macdonnellensis","2435382"
