"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Metabolism_W","Trophic","Group","Mass_Spec_Meta_Watt","Inverse_Mass_Spec_Meta_Watt","GBIF_ID"
"684","Trichosurus vulpecula",8711,1,1,"Mammal","Diprotodontia",1982,3.538888889,"Herbivore","Marsupial",0.001785514,560.0627943,"2440254"
"685","Tupaia belangeri",1021,1,9,"Mammal","Scandentia",186,0.705555556,"Omnivore","Eutherian",0.003793309,263.6220471,"2436268"
"686","Tupaia glis",877,1,2,"Mammal","Scandentia",123,0.522,"Carnivore","Eutherian",0.004243902,235.6321839,"2436271"
"687","Tursiops truncatus",181,1,2,"Mammal","Cetacea",148600,323.2555556,"Carnivore","Eutherian",0.00217534,459.6982091,"2440447"
"688","Tympanoctomys barrerae",1010,1,1,"Mammal","Rodentia",71.4,0.430555556,"Herbivore","Eutherian",0.00603019,165.8322579,"2439645"
"689","Urocitellus beldingi",1011,1,9,"Mammal","Rodentia",293.7,0.796,"Omnivore","Eutherian",0.002710249,368.9698492,"8428945"
"690","Urocitellus richardsonii",1012,1,9,"Mammal","Rodentia",266.3,0.788,"Omnivore","Eutherian",0.002959069,337.9441624,"7905336"
"691","Uroderma bilobatum",297,1,2,"Mammal","Chiroptera",16.2,0.147222222,"Carnivore","Eutherian",0.009087791,110.037736,"2433156"
"692","Urogale everetti",1024,1,9,"Mammal","Scandentia",260.6,1.25,"Omnivore","Eutherian",0.004796623,208.48,"2436324"
"693","Uromys caudimaculatus",1013,1,9,"Mammal","Rodentia",819,3.169444444,"Omnivore","Eutherian",0.003869896,258.404908,"2438194"
"694","Ursus americanus",163,1,2,"Mammal","Carnivora",129500,85.23333333,"Carnivore","Eutherian",0.000658172,1519.358623,"2433407"
"695","Ursus arctos",164,1,2,"Mammal","Carnivora",170000,109.9972222,"Carnivore","Eutherian",0.000647042,1545.493573,"2433433"
"696","Ursus maritimus",165,1,2,"Mammal","Carnivora",181333,124.4055556,"Carnivore","Eutherian",0.000686061,1457.595677,"2433451"
"697","Vampyressa pusilla",298,1,2,"Mammal","Chiroptera",8.8,0.102777778,"Carnivore","Eutherian",0.011679293,85.62162144,"2433186"
"698","Vulpes cana",166,1,2,"Mammal","Carnivora",1285,3.525,"Carnivore","Eutherian",0.002743191,364.5390071,"5219235"
"699","Vulpes lagopus",890,1,2,"Mammal","Carnivora",3600,7.665,"Carnivore","Eutherian",0.002129167,469.667319,"5219303"
"700","Vulpes macrotis",891,1,2,"Mammal","Carnivora",1769,4.928,"Carnivore","Eutherian",0.002785755,358.9691558,"5219311"
"701","Vulpes rueppellii",171,1,2,"Mammal","Carnivora",1546,4.458333333,"Carnivore","Eutherian",0.002883786,346.7663552,"5219297"
"702","Vulpes velox",172,1,2,"Mammal","Carnivora",1769,4.948,"Carnivore","Eutherian",0.00279706,357.5181892,"5219290"
"703","Vulpes vulpes",892,1,2,"Mammal","Carnivora",3060,8.380555556,"Carnivore","Eutherian",0.002738744,365.1309247,"5219243"
"704","Vulpes zerda",8931,1,2,"Mammal","Carnivora",1106,2.222222222,"Carnivore","Eutherian",0.002009243,497.7,"5219310"
"705","Xerus inauris",898,1,9,"Mammal","Rodentia",515.3,1.730555556,"Omnivore","Eutherian",0.003358346,297.76565,"2437454"
"706","Xerus princeps",1016,1,9,"Mammal","Rodentia",627,1.975,"Omnivore","Eutherian",0.00314992,317.4683544,"2437457"
"707","Zaedyus pichiy",899,1,9,"Mammal","Xenarthra",1740,2.192,"Omnivore","Marsupial",0.00125977,793.7956204,"2440795"
"708","Zaglossus bartoni",518,1,2,"Mammal","Monotremata",10300,6.780555556,"Carnivore","Monotreme",0.000658306,1519.04957,"2433385"
"709","Zaglossus bruijni",519,1,2,"Mammal","Monotremata",11848.6,6.493,"Carnivore","Monotreme",0.000547997,1824.826736,"2433391"
"710","Zalophus californianus",177,1,2,"Mammal","Carnivora",73000,177.9361111,"Carnivore","Eutherian",0.002437481,410.2596126,"2433458"
"711","Zapus hudsonius",900,1,1,"Mammal","Rodentia",26.1,0.219,"Herbivore","Eutherian",0.008390805,119.1780822,"2439467"
