Unique_ID,Ref,Reference,Region,Taxa,Group,Species,Mean_gm2,Variance,CV,CV_k,Count,Units,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ts9,ts10,ts11,ts12,ts13,ts14,ts15,ts16,ts17,ts18,ts19,ts20,ts21,ts22,ts23,ts24,ts25,ts26,ts27,ts28,ts29,ts30,ts31,ts32,ts33,ts34,ts35,ts36,ts37,ts38,ts39,ts40,ts41,ts42,ts43,ts44,ts45,ts46,ts47,ts48,ts49,ts50,ts51,ts52,ts53,ts54,ts55,ts56,ts57,ts58,ts59,ts60,ts61,ts62,ts63,ts64,ts65,ts66,ts67,ts68,ts69,ts70,ts71,ts72,ts73,ts74,ts75,ts76,ts77,ts78,ts79,ts80,ts81,ts82,ts83,ts84,ts85,ts86,ts87,ts88,ts89,ts90,ts91,ts92,ts93,ts94,ts95,ts96,ts97,ts98,ts99,ts100,ts101,ts102,ts103,ts104,ts105,ts106,ts107,ts108,ts109,ts110,ts111,ts112,ts113,ts114,ts115,ts116,ts117,ts118,ts119,ts120,ts121,ts122,ts123,ts124,ts125,ts126,ts127,ts128,ts129,ts130,ts131,ts132,ts133,ts134,ts135
77,Ecosystem census,From Hatton 2015,North America,Mammal,Herbivore,Moose,0.15860898,0.033075808,1.14664098,0.753654122,49,g/m2,0.0352,0.0128,0.0288,0.0576,0.0608,0.0608,0.0608,0.05248,0.03008,0.02048,0.0288,0.0384,0.0448,0.0704,0.0864,0.05408,0.04928,0.0592,0.56384,0.51712,0.32,0.3552,0.384,0.4384,0.4512,0.5536,0.7968,0.0256,0.0448,0.0416,,0.0064,,0.072,0.0736,0.224,0.192,0.176,0.12352,,0.416,0.096,0.1056,0.09472,0.096,0.256,0.0544,0.0736,0.1184,0.096,0.1344,0.01984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Ecosystem census,From Hatton 2015,North America,Mammal,Herbivore,WT-deer,0.257348,0.022454329,0.582276474,0.503189433,10,g/m2,,,,,,,,,,,,,,,,0.40383,0.21686,,,,,,,,,,,0.0056,,,,0.4312,0.42,,,0.357,0.245,0.042,0.24199,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,http://www.imperial.ac.uk/cpb/gpdd2/showdata.aspx?dataset=45,GPDD; dataset 45,"Wytham Wood, Oxfordshire, UK",Mammal,Herbivore,Apodemus sylvaticus,0.051582143,0.000494739,0.431209869,0.395965161,28,g/m2,0.0754,0.0247,0.0715,0.013,0.0455,0.026,0.0468,0.0494,0.0494,0.0832,0.0702,0.0494,0.0572,0.0416,0.0494,0.117,0.0455,0.0299,0.0507,0.0819,0.0572,0.0494,0.0234,0.0286,0.0468,0.0338,0.0754,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,http://www.imperial.ac.uk/cpb/gpdd2/showdata.aspx?dataset=45,GPDD; dataset 45,"Wytham Wood, Oxfordshire, UK",Mammal,Herbivore,Apodemus sylvaticus,0.023864286,0.000335648,0.767703617,0.608949445,28,g/m2,0.0104,0.026,0.0221,0.0299,0.0052,0.0286,0.0026,0.0104,0.0546,0.0013,0.0299,0.0156,0.0416,0.0052,0.065,0.0104,0.0416,0.0052,0.0286,0.0221,0.0065,0.0182,0.0208,0.0026,0.026,0.0416,0.0286,0.0676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,http://www.imperial.ac.uk/cpb/gpdd2/showdata.aspx?dataset=46,GPDD; dataset 46,"Wytham Wood, Oxfordshire, UK",Mammal,Herbivore,Clethrionomys glareolus,0.083416667,0.004198437,0.776767394,0.613443314,28,g/m2,0.024555556,0.036111111,0.013,0.109777778,0.033222222,0.023111111,0.013,0.050555556,0.202222222,0.002888889,0.153111111,0.173333333,0.092444444,0.089555556,0.251333333,0.033222222,0.135777778,0.060666667,0.138666667,0.109777778,0.112666667,0.082333333,0.031777778,0.037555556,0.057777778,0.027444444,0.063555556,0.176222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,http://www.imperial.ac.uk/cpb/gpdd2/showdata.aspx?dataset=47,GPDD; dataset 47,"Wytham Wood, Oxfordshire, UK",Mammal,Herbivore,Clethrionomys glareolus,0.088111111,0.001543023,0.445815868,0.407184173,28,g/m2,0.098222222,0.132888889,0.054888889,0.089555556,0.057777778,0.161777778,0.092444444,0.088111111,0.109777778,0.050555556,0.176222222,0.082333333,0.091,0.111222222,0.122777778,0.028888889,0.118444444,0.082333333,0.115555556,0.104,0.101111111,0.028888889,0.011555556,0.063555556,0.078,0.031777778,0.121333333,0.062111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Perca,2.811858682,10.35041071,1.144156155,0.752947265,15,g/m2,0.82268,2.1452,2.02,3.69999999,2.87,0.82,2.94,7.8000002,0.77,1.87000004,1.02,0.13,12.32,2.1,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Salvelinus,1.538819278,10.93996603,2.14941546,0.906677252,10,g/m2,0.098192,10.4,0.1100002,0.02999992,0.27,0.03,3.7,0.2200001,0.3099999,0.22000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Chironomus,30.79346001,1354.159917,1.195023615,0.766910816,12,g/m2,64.619,0.040504,0.48685,85.29037014,2.700225,90.97038,0.5000345,7.2276984,46.8489649,0.03900318,65.298017,5.500473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Procladius,2.044741893,3.391234962,0.900617633,0.669218252,10,g/m2,0.80337,0.699,0.0689864,2.26047648,2.700226,2.710191,4.8707966,0.6831247,5.2011571,0.45009065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Tanytarsus,13.22391378,626.3062183,1.892488952,0.884155847,11,g/m2,0.069,1.43954,1.01956,14.7395,1.92126,37.818126,0.4500894,80.7049179,2.4004904,1.70019991,3.200368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Downing & Plante 1993,Downing & Plante 1993,Freshwater,Ectotherm,Fish,Coregonus,2.077000094,0.322089851,0.273244862,0.263582095,10,g/m2,1.57,2.83,2.4799996,2.15000044,1.880001,2.26,1.9499996,1.6200005,2.9099998,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
