"","Species","ls","ly","bm","long","gest","wea","fmat","General_system","PC1","PC2","Binomial","GBIF_ID"
"1","Abeomelomys_sevia",-0.350042633753637,0.276104905343035,1.7626035495668,-0.74422997375235,-0.171125443436273,-0.143134509844576,-0.258018538450186,"T",1.48809724743085,-0.946009804704726,"Abeomelomys_sevia","4264979"
"2","Abrocoma_bennettii",0.17360648042938,0.104376848259206,2.42406452541749,-0.448277657255263,0.219966588723958,-0.304662468538761,-0.0864736218205179,"T",1.11869658846375,-0.469135780734386,"Abrocoma_bennettii","2439416"
"3","Abrocoma_budini",-0.00906296563388055,0.0947448570455842,2.34600070095675,-0.759031767219814,0.287232822454249,-0.3191982953433,-0.036161029189068,"T",1.00529928720599,-0.733340008290473,"Abrocoma_budini","4264779"
"4","Abrocoma_cinerea",-0.00906296563388055,0.0947448570455842,2.34600070095675,-0.759031767219814,0.287232822454249,-0.3191982953433,-0.036161029189068,"T",1.00529928720599,-0.733340008290473,"Abrocoma_cinerea","2439415"
"5","Abrocoma_famatina",-0.00906296563388055,0.0947448570455842,2.34600070095675,-0.759031767219814,0.287232822454249,-0.3191982953433,-0.036161029189068,"T",1.00529928720599,-0.733340008290473,"Abrocoma_famatina","4264782"
"6","Abrocoma_shistacea",-0.00906296563388055,0.0947448570455842,2.34600070095675,-0.759031767219814,0.287232822454249,-0.3191982953433,-0.036161029189068,"T",1.00529928720599,-0.733340008290473,"Abrocoma_shistacea","4264778"
"7","Abrocoma_vaccarum",-0.00906296563388055,0.0947448570455842,2.34600070095675,-0.759031767219814,0.287232822454249,-0.3191982953433,-0.036161029189068,"T",1.00529928720599,-0.733340008290473,"Abrocoma_vaccarum","4264781"
"8","Abrothrix_longipilis",0.370743003043634,0.390322058761416,2.26717172840301,-0.380199946355015,-0.410033138097061,-0.383364748936936,-0.604148889964936,"T",3.47374763019123,-0.191259837760829,"Abrothrix_longipilis","4265092"
"9","Abrothrix_olivaceus",0.36065689853348,0.0600840857829679,1.43136376415899,-0.603849984567086,-0.273409122069036,-0.108727188911563,0.05573661729626,"T",1.64268841099562,1.24343605181959,"Abrothrix_olivaceus","4265094"
"10","Acerodon_celebensis",-0.300948618378131,-0.155560531337491,2.58528020597607,0.203465713066667,0.405670240104017,0.275412387144269,0.0654336130567767,"F",-1.89243182125112,-0.632506832505546,"Acerodon_celebensis","5218704"
"11","Acerodon_jubatus",-0.260453320079902,-0.13779372850594,3.03624552518993,0.200232318761298,0.329449849203111,0.149961957548264,0.056566135330656,"F",-1.52410250812691,-0.640728498720379,"Acerodon_jubatus","5218703"
"12","Acerodon_mackloti",-0.294976615157921,-0.147397578050167,2.67018088963927,0.185834273348755,0.392195522487448,0.258458017340998,0.0474962473952372,"F",-1.78787712501302,-0.644472911372611,"Acerodon_mackloti","5218702"
"13","Acinonyx_jubatus",0.339729118395208,-0.132349709570772,4.70396096516069,-0.00472106719592033,-0.182441490715917,-0.173805716825832,-0.140922755818981,"T",0.89783220091718,0.814302234460755,"Acinonyx_jubatus","2435270"
"14","Acomys_airensis",0.0350951105139595,0.273484894403684,1.65513843481138,0.0860749294281843,-0.0735957809637738,-0.448222255026793,-0.510771672627201,"T",1.84237352495337,-1.41964432122953,"Acomys_airensis","4264831"
