"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"151","Tamias striatus",1623,1,9,"Mammal","Rodentia",96,134.4,1.4,"Omnivore","Eutherian","Sciuridae","Tamias","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437438"
"152","Taxidea taxus",504,1,2,"Mammal","Carnivora",6385,1404.7,0.22,"Carnivore","Eutherian","Mustelidae","Taxidea","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2434102"
"153","Tragelaphus strepsiceros",243,1,1,"Mammal","Artiodactyla",204456.0659,78715.58537,0.385,"Herbivore","Eutherian","Bovidae","Tragelaphus","Owen-Smith 1990; after Duncan et al. 2007, method: count","African ecosystems","",NA,NA,"5220183"
"154","Trichosurus vulpecula",918,1,1,"Mammal","Diprotodontia",2243.881924,493.6540233,0.22,"Herbivore","Marsupial","Phalangeridae","Trichosurus","Hickling and Pekelharing 1989; after Duncan et al. 2007, method: count","","",NA,NA,"2440254"
"155","Tupaia glis",1648,1,9,"Mammal","Scandentia",148,142.08,0.96,"Omnivore","Eutherian","Tupaiidae","Tupaia","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2436271"
"156","Urocitellus parryii",1609,1,9,"Mammal","Rodentia",625.028758,550.025307,0.88,"Omnivore","Eutherian","Sciuridae","Spermophilus","Boonstra et al. 2001; after Duncan et al. 2007, method: count","","",NA,NA,"8303143"
"157","Urocyon cinereoargenteus",509,1,2,"Mammal","Carnivora",3300,1650,0.5,"Carnivore","Eutherian","Canidae","Urocyon","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2434566"
"158","Ursus americanus",513,1,2,"Mammal","Carnivora",97000,41710,0.43,"Carnivore","Eutherian","Ursidae","Ursus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2433407"
"159","Ursus arctos",515,1,2,"Mammal","Carnivora",191381.5202,57414.45606,0.3,"Carnivore","Eutherian","Ursidae","Ursus","McCullough 1992; after Duncan et al. 2007, method: count","","",NA,NA,"2433433"
"160","Ursus arctos",517,1,2,"Mammal","Carnivora",111857,27964.25,0.25,"Carnivore","Eutherian","Ursidae","Ursus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2433433"
"161","Ursus maritimus",520,1,2,"Mammal","Carnivora",272500,103550,0.38,"Carnivore","Eutherian","Ursidae","Ursus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2433451"
"162","Vulpes lagopus",526,1,2,"Mammal","Carnivora",5200,2548,0.49,"Carnivore","Eutherian","Canidae","Vulpes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5219303"
"163","Vulpes velox",528,1,2,"Mammal","Carnivora",2073.003331,1658.402665,0.8,"Carnivore","Eutherian","Canidae","Vulpes","Dennis and Otten 2000; after Duncan et al. 2007, method: count","","",NA,NA,"5219290"
"164","Vulpes vulpes",530,1,2,"Mammal","Carnivora",5377.74246,8927.052484,1.66,"Carnivore","Eutherian","Canidae","Vulpes","Peterson 1994; after Duncan et al. 2007, method: count","","",NA,NA,"5219243"
"165","Vulpes vulpes",531,1,2,"Mammal","Carnivora",5377.74246,5646.629583,1.05,"Carnivore","Eutherian","Canidae","Vulpes","Hone 1999; after Duncan et al. 2007, method: count","","",NA,NA,"5219243"
"166","Vulpes vulpes",534,1,2,"Mammal","Carnivora",3900,1911,0.49,"Carnivore","Eutherian","Canidae","Vulpes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5219243"
"167","Wallabia bicolor",926,1,1,"Mammal","Diprotodontia",13000,4810,0.37,"Herbivore","Marsupial","Macropodidae","Wallabia","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2440149"
"168","Zalophus californianus",538,1,2,"Mammal","Carnivora",79689.29781,5737.629442,0.072,"Carnivore","Eutherian","Otariidae","Zalophus","Eberhardt 1987; after Duncan et al. 2007, method: count","","",NA,NA,"2433458"
"169","Zapus hudsonius",1641,1,1,"Mammal","Rodentia",19,14.63,0.77,"Herbivore","Eutherian","Dipodidae","Zapus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2439467"
"170","Zapus sp.",1643,1,1,"Mammal","Rodentia",22,11.88,0.54,"Herbivore","Eutherian","Dipodidae","Zapus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2439466"
