"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"67","Macaca sylvanus",1182,1,9,"Mammal","Primate",10838,2817.88,0.26,"Omnivore","Eutherian","Cercopithecidae","Macaca","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2436618"
"68","Macroderma gigas",628,1,2,"Mammal","Chiroptera",137.467489,20.62012335,0.15,"Carnivore","Eutherian","Megadermatidae","Macroderma","Hoyle et al.2001; after Duncan et al. 2007, method: count","","",NA,NA,"5218772"
"69","Macropus fuliginosus",851,1,1,"Mammal","Diprotodontia",23664.64533,15618.66592,0.66,"Herbivore","Marsupial","Macropodidae","Macropus","Bayliss 1987; after Duncan et al. 2007, method: count","","",NA,NA,"5219965"
"70","Macropus giganteus",855,1,1,"Mammal","Diprotodontia",24957.43795,13726.59087,0.55,"Herbivore","Marsupial","Macropodidae","Macropus","Banks et al. 2000; after Duncan et al. 2007, method: count","","",NA,NA,"5219981"
"71","Macropus rufus",872,1,1,"Mammal","Diprotodontia",30164.76873,17193.91818,0.57,"Herbivore","Marsupial","Macropodidae","Macropus","Bayliss 1987; after Duncan et al. 2007, method: count","","",NA,NA,"5219963"
"72","Macropus rufus",873,1,1,"Mammal","Diprotodontia",30164.76873,13272.49824,0.44,"Herbivore","Marsupial","Macropodidae","Macropus","Bayliss 1987; after Duncan et al. 2007, method: count","","",NA,NA,"5219963"
"73","Marmota flaviventris",1392,1,1,"Mammal","Rodentia",3515,1511.45,0.43,"Herbivore","Eutherian","Sciuridae","Marmota","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437369"
"74","Martes americana",384,1,2,"Mammal","Carnivora",716,400.96,0.56,"Carnivore","Eutherian","Mustelidae","Martes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5218864"
"75","Megaptera novaeangliae",570,1,2,"Mammal","Cetacea",42432634.84,4115965.579,0.097,"Carnivore","Eutherian","Balaenopteridae","Megaptera","Best 1993; after Duncan et al. 2007, method: count","","",NA,NA,"5220086"
"76","Megaptera novaeangliae",571,1,2,"Mammal","Cetacea",42432634.84,3988667.675,0.094,"Carnivore","Eutherian","Balaenopteridae","Megaptera","Best 1993; after Duncan et al. 2007, method: count","","",NA,NA,"5220086"
"77","Megaptera novaeangliae",572,1,2,"Mammal","Cetacea",42432634.84,3734071.866,0.088,"Carnivore","Eutherian","Balaenopteridae","Megaptera","Best 1993; after Duncan et al. 2007, method: count","","",NA,NA,"5220086"
"78","Microtus agrestis",1413,1,1,"Mammal","Rodentia",30.62668558,211.9366642,6.92,"Herbivore","Eutherian","Muridae","Microtus","Marcstrom et al. 1990; after Duncan et al. 2007, method: count","","",NA,NA,"2438616"
