"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr","GBIF_ID"
"771","Petaurista leucogenys",1425,1,1,"Mammal","Rodentia",1650,0.130208333,"Herbivore","Eutherian",7.6800000196608,"5219695"
"772","Petauroides volans",824,1,1,"Mammal","Diprotodontia",1300,0.435,"Herbivore","Marsupial",2.29885057471264,"2440068"
"773","Petaurus australis",261,1,1,"Mammal","Diprotodontia",573.75,0.2113333335,"Herbivore","Marsupial",4.73186119500642,"2440050"
"774","Petaurus breviceps",262,1,1,"Mammal","Diprotodontia",119,0.161224719,"Herbivore","Marsupial",6.20252282778052,"2440043"
"775","Petaurus norfolcensis",829,1,1,"Mammal","Diprotodontia",405,0.168918919,"Herbivore","Marsupial",5.9199999971584,"2440049"
"776","Petrogale brachyotis",830,1,1,"Mammal","Diprotodontia",3700,0.247524752,"Herbivore","Marsupial",4.0400000077568,"2440112"
"777","Petrogale concinna",831,1,1,"Mammal","Diprotodontia",1250,0.213675214,"Herbivore","Marsupial",4.6799999928864,"2440128"
"778","Petrogale penicillata",832,1,1,"Mammal","Diprotodontia",6000,0.174825175,"Herbivore","Marsupial",5.71999999428,"2440113"
"779","Petrogale xanthopus",833,1,1,"Mammal","Diprotodontia",6000,0.173611111,"Herbivore","Marsupial",5.7600000036864,"2440122"
"780","Phacochoerus aethiopicus",18010,1,1,"Mammal","Artiodactyla",71000,0.152,"Herbivore","Eutherian",6.57894736842105,"2441211"
"781","Phacochoerus africanus",184,1,1,"Mammal","Artiodactyla",1e+05,0.119617225,"Herbivore","Eutherian",8.35999999164,"2441212"
"782","Phalanger gymnotis",834,1,1,"Mammal","Diprotodontia",2400,0.132275132,"Herbivore","Marsupial",7.5600000157248,"2440266"
"783","Phaner furcifer",1164,1,1,"Mammal","Primate",400,0.1,"Herbivore","Eutherian",10,"2436443"
"784","Phascogale calura",739,1,2,"Mammal","Dasyuromorphia",43,0.531914894,"Carnivore","Marsupial",1.8799999986464,"2435449"
"785","Phascogale tapoatafa",740,1,2,"Mammal","Dasyuromorphia",193.5,0.423728814,"Carnivore","Marsupial",2.3599999975456,"2435448"
"786","Phascolarctos cinereus",263,1,1,"Mammal","Diprotodontia",9966.66666666667,0.152707390666667,"Herbivore","Marsupial",6.54847152868209,"2440012"
"787","Philander opossum",767,1,9,"Mammal","Didelphimorphia",450,0.568181818,"Omnivore","Marsupial",1.7600000005632,"5219950"
"788","Philantomba maxwellii",185,1,1,"Mammal","Artiodactyla",7000,0.136612022,"Herbivore","Eutherian",7.3199999923872,"7261459"
"789","Philantomba monticola",186,1,1,"Mammal","Artiodactyla",6250,0.157232704,"Herbivore","Eutherian",6.3600000162816,"7261461"
"790","Phloeomys cumingi",1426,1,1,"Mammal","Rodentia",1750,0.183823529,"Herbivore","Eutherian",5.4400000121856,"2438568"
"791","Phloeomys pallidus",1427,1,1,"Mammal","Rodentia",1744,0.23364486,"Herbivore","Eutherian",4.279999996576,"2438569"
"792","Phoca caspica",721,1,2,"Mammal","Carnivora",86000,0.05625,"Carnivore","Eutherian",17.7777777777778,"2434777"
"793","Phoca fasciata",732,1,2,"Mammal","Carnivora",90000,0.0916666666666667,"Carnivore","Eutherian",10.9090909090909,"2434811"
"794","Phoca groenlandica",745,1,2,"Mammal","Carnivora",120000,0.085,"Carnivore","Eutherian",11.7647058823529,"2434802"
"795","Phoca hispida",75,1,2,"Mammal","Carnivora",93000,0.0594,"Carnivore","Eutherian",16.8350168350168,"2434773"
"796","Phoca sibirica",76,1,2,"Mammal","Carnivora",1e+05,0.046,"Carnivore","Eutherian",21.7391304347826,"2434766"
"797","Phoca vitulina",77,1,2,"Mammal","Carnivora",103000,0.0731042016,"Carnivore","Eutherian",13.6791043211393,"2434793"
"798","Phocoena phocoena",78,1,2,"Mammal","Cetacea",51250,0.15927451,"Carnivore","Eutherian",6.27846853837441,"2440669"
"799","Phocoenoides dalli",79,1,2,"Mammal","Cetacea",106666.666666667,0.103151515,"Carnivore","Eutherian",9.69447710002127,"2440684"
"800","Phodopus sungorus",1428,1,9,"Mammal","Rodentia",23.4,0.641025641,"Omnivore","Eutherian",1.5600000000624,"2437845"
"801","Phyllostomus discolor",684,1,2,"Mammal","Chiroptera",43.4,0.111111111,"Carnivore","Eutherian",9.000000009,"2433280"
"802","Phyllostomus hastatus",685,1,2,"Mammal","Chiroptera",81,0.055555556,"Carnivore","Eutherian",17.999999856,"2433279"
"803","Physeter macrocephalus",80,1,2,"Mammal","Cetacea",24100000,0.0499333333333333,"Carnivore","Eutherian",20.0267022696929,"8123917"
"804","Physeter macrocephalus",614,1,2,"Mammal","Cetacea",28500000,0.012987013,"Carnivore","Eutherian",76.999999923,"8123917"
