"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group"
"95",1,1,"Mammal","Artiodactyla","Cervus unicolor",211159.090909091,0.000524567071488483,0.000374846883446331,0.000524567071488483,NA,2.57941969318182e-06,"Herbivore","Eutherian"
"504",1,1,"Mammal","Artiodactyla","Connochaetes taurinus",203000,0.001185389333502,0.00107188721204537,0.00149865820034892,0.001185389333502,7.59e-06,"Herbivore","Eutherian"
"102",1,1,"Mammal","Artiodactyla","Connochaetus taurinus",163000,0.00111798325731126,0.000803662842197366,0.00111798325731126,NA,6.673605e-06,"Herbivore","Eutherian"
"543",1,1,"Mammal","Artiodactyla","Damaliscus dorcas",70000,0.00167217823873474,0.00122564364174177,0.00167217823873474,NA,1.88e-05,"Herbivore","Eutherian"
"103",1,1,"Mammal","Artiodactyla","Damaliscus lunatus",108666.666666667,0.000198118599326598,0.000143752013718054,0.000198118599326598,NA,1.60229619047619e-06,"Herbivore","Eutherian"
"110",1,1,"Mammal","Artiodactyla","Gazella bennettii",23000,1.77899934140385e-05,1.33774997406811e-05,1.77899934140385e-05,NA,4.60357636829268e-07,"Herbivore","Eutherian"
"111",1,1,"Mammal","Artiodactyla","Gazella granti",45627.2727272727,0.000127862203660099,9.4645272392622e-05,0.000127862203660099,NA,1.98078227272727e-06,"Herbivore","Eutherian"
"112",1,1,"Mammal","Artiodactyla","Gazella thomsoni",18166.6666666667,0.000166695189886565,0.000126031365466265,0.000166695189886565,NA,5.14730166666667e-06,"Herbivore","Eutherian"
"113",1,1,"Mammal","Artiodactyla","Giraffa camelopardalis",754378.378378378,0.000186932716671671,0.000129723802210374,0.000186932716671671,NA,3.54180540540541e-07,"Herbivore","Eutherian"
"683",1,1,"Mammal","Artiodactyla","Hemitragus hylocrius",90000,0.00105328424796114,0.000767568097327996,0.00105328424796114,NA,9.81006e-06,"Herbivore","Eutherian"
"115",1,1,"Mammal","Artiodactyla","Hippopotamus amphibius",1401283.33333333,0.000375502520614451,0.00025689855636281,0.000375502520614451,NA,4.47423333333333e-07,"Herbivore","Eutherian"
"116",1,1,"Mammal","Artiodactyla","Hippotragus equinus",257941.176470588,1.52073945276933e-05,1.08170476209846e-05,1.52073945276933e-05,NA,6.43694117647059e-08,"Herbivore","Eutherian"
"117",1,1,"Mammal","Artiodactyla","Hippotragus niger",218083.333333333,2.43885585383371e-05,1.74147289662686e-05,2.43885585383371e-05,NA,1.17060833333333e-07,"Herbivore","Eutherian"
"118",1,1,"Mammal","Artiodactyla","Hyemoschus aquaticus",14150,0.000261858982047216,0.00019912187876552,0.000261858982047216,NA,9.75e-06,"Herbivore","Eutherian"
"745",1,1,"Mammal","Artiodactyla","Kobus defassa",211000,0.001851621530594,0.00132316081158484,0.001851621530594,NA,9.11e-06,"Herbivore","Eutherian"
"119",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymnus",180000,3.30150936131135e-05,2.86899540514095e-05,4.00020470356247e-05,3.30150936131135e-05,2.21685263157895e-07,"Herbivore","Eutherian"
"784",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymus",194000,0.000322549584246676,0.000230938292701678,0.000322549584246676,NA,1.69e-06,"Herbivore","Eutherian"
"785",1,1,"Mammal","Artiodactyla","Kobus leche",90600,0.00167250338086636,0.00121863026557871,0.00167250338086636,NA,1.55e-05,"Herbivore","Eutherian"
"786",1,1,"Mammal","Artiodactyla","Kobus vardoni",69300,1.32417912719506e-05,9.70797786973968e-06,1.32417912719506e-05,NA,1.5e-07,"Herbivore","Eutherian"
"787",1,1,"Mammal","Artiodactyla","Lama guanacoe",89000,5.4301218759365e-05,3.95815239482632e-05,5.4301218759365e-05,NA,5.1e-07,"Herbivore","Eutherian"
"788",1,1,"Mammal","Artiodactyla","Litocranius walleri",42000,6.24880869817344e-05,4.63427071400167e-05,6.24880869817344e-05,NA,1.03e-06,"Herbivore","Eutherian"
"123",1,1,"Mammal","Artiodactyla","Madoqua kirkii",5077.14285714286,0.000174691826702686,0.000157285332174848,0.000202021953146605,0.000174691826702686,1.620852e-05,"Herbivore","Eutherian"
"125",1,1,"Mammal","Artiodactyla","Mazama americana",23050,0.000396744283443694,0.000298323970542896,0.000396744283443694,NA,1.025e-05,"Herbivore","Eutherian"
"798",1,1,"Mammal","Artiodactyla","Mazama gouazoubira",17350,0.000325398041942921,0.000246280457343597,0.000325398041942921,NA,1.04e-05,"Herbivore","Eutherian"
"1291",1,1,"Mammal","Artiodactyla","Moschiola meminna",5000,1.32141587999304e-05,1.02915814534034e-05,1.32141587999304e-05,NA,1.0724195e-06,"Herbivore","Eutherian"
"801",1,1,"Mammal","Artiodactyla","Moschus moschiferus",15000,2.46900125846155e-05,1.87495183811847e-05,2.46900125846155e-05,NA,8.8e-07,"Herbivore","Eutherian"
"130",1,1,"Mammal","Artiodactyla","Muntiacus muntjak",16562.5,2.76712638455981e-05,2.09656341950364e-05,2.76712638455981e-05,NA,9.157088609375e-07,"Herbivore","Eutherian"
"131",1,1,"Mammal","Artiodactyla","Naemorhedus goral",26000,1.40024265316212e-05,1.04997224682856e-05,1.40024265316212e-05,NA,3.30553666666667e-07,"Herbivore","Eutherian"
"869",1,1,"Mammal","Artiodactyla","Neotragus batesi",2650,1.14881131585882e-05,9.07889417231164e-06,1.14881131585882e-05,NA,1.5e-06,"Herbivore","Eutherian"
"870",1,1,"Mammal","Artiodactyla","Odocoileus hemionus",89300,0.00106741678762752,0.000778006722165091,0.00106741678762752,NA,1e-05,"Herbivore","Eutherian"
"132",1,1,"Mammal","Artiodactyla","Odocoileus virginianus",68758.3333333333,0.0004099221,0.000279739006453366,0.000381498299764648,0.0004099221,4.347e-06,"Herbivore","Eutherian"
"883",1,1,"Mammal","Artiodactyla","Okapia johnstoni",250000,9.23131018110875e-05,6.57097217084519e-05,9.23131018110875e-05,NA,4e-07,"Herbivore","Eutherian"
"134",1,1,"Mammal","Artiodactyla","Oreotragus oreotragus",13144.4444444444,1.83882936413143e-05,1.40064883084318e-05,1.83882936413143e-05,NA,7.23531111111111e-07,"Herbivore","Eutherian"
"135",1,1,"Mammal","Artiodactyla","Oryx beisa",162000,3.68280141547231e-05,2.64775843479017e-05,3.68280141547231e-05,NA,2.20854e-07,"Herbivore","Eutherian"
"903",1,1,"Mammal","Artiodactyla","Oryx gazella",167000,0.000127944666437217,9.19218193980725e-05,0.000127944666437217,NA,7.5e-07,"Herbivore","Eutherian"
"137",1,1,"Mammal","Artiodactyla","Ourebia ourebi",13031.5789473684,3.78869086605946e-06,2.88644404681946e-06,3.78869086605946e-06,NA,1.50041052631579e-07,"Herbivore","Eutherian"
"923",1,1,"Mammal","Artiodactyla","Ovibos moschatus",250000,5.0108000004e-05,5.91387495376067e-05,8.30817916299787e-05,5.0108000004e-05,3.6e-07,"Herbivore","Eutherian"
"924",1,1,"Mammal","Artiodactyla","Ovis canadensis",75900,0.00019265232,0.000116152885008287,0.000158765691023015,0.00019265232,1.68e-06,"Herbivore","Eutherian"
"138",1,1,"Mammal","Artiodactyla","Ovis dalli",50000,2.96400513982367e-05,2.18938201637699e-05,2.96400513982367e-05,NA,4.2875e-07,"Herbivore","Eutherian"
"929",1,1,"Mammal","Artiodactyla","Pelea capreolus",24000,0.000227803616474827,0.000171133353183258,0.000227803616474827,NA,5.71e-06,"Herbivore","Eutherian"
"930",1,1,"Mammal","Artiodactyla","Phacochoerus aethiopicus",60900,0.000104176074983975,7.66021037578097e-05,0.000104176074983975,NA,1.3e-06,"Herbivore","Eutherian"
"140",1,1,"Mammal","Artiodactyla","Phacochoerus africanus",57000,4.24701183548604e-05,3.1276435646418e-05,4.24701183548604e-05,NA,5.5691243902439e-07,"Herbivore","Eutherian"
"142",1,1,"Mammal","Artiodactyla","Potamochoerus larvatus",70000,1.68719226462295e-05,1.23664835699315e-05,1.68719226462295e-05,NA,1.89688e-07,"Herbivore","Eutherian"
"143",1,1,"Mammal","Artiodactyla","Potamochoerus porcus",66600,0.000144387098418202,0.000105951567398604,0.000144387098418202,NA,1.685e-06,"Herbivore","Eutherian"
"146",1,1,"Mammal","Artiodactyla","Rangifer tarandus",91111.1111111111,0.000119407384444444,7.87764076312405e-05,0.000108130300252561,0.000119407384444444,9.97888888888889e-07,"Herbivore","Eutherian"
"147",1,1,"Mammal","Artiodactyla","Raphicerus campestris",11054.1666666667,4.65618474246502e-06,4.35478089740339e-06,5.6944069829073e-06,4.65618474246502e-06,2.55094583333333e-07,"Herbivore","Eutherian"
"148",1,1,"Mammal","Artiodactyla","Raphicerus sharpei",9076.25,2.50153435652675e-06,1.92173512324992e-06,2.50153435652675e-06,NA,1.2989375e-07,"Herbivore","Eutherian"
"1020",1,1,"Mammal","Artiodactyla","Redunca arundimum",40500,0.000413264536287496,0.00030674364725161,0.000413264536287496,NA,7e-06,"Herbivore","Eutherian"
"1021",1,1,"Mammal","Artiodactyla","Redunca arundinum",59400,0.000114832597648013,8.44864389194281e-05,0.000114832597648013,NA,1.46e-06,"Herbivore","Eutherian"
"1022",1,1,"Mammal","Artiodactyla","Redunca fulvorufula",28000,0.00029956686144839,0.000224247721373199,0.00029956686144839,NA,6.69e-06,"Herbivore","Eutherian"
"149",1,1,"Mammal","Artiodactyla","Redunca redunca",40102.9411764706,1.33233517928297e-05,9.89143601996943e-06,1.33233517928297e-05,NA,2.27346470588235e-07,"Herbivore","Eutherian"
"1057",1,1,"Mammal","Artiodactyla","Saiga tatarica",42500,4.89665584990358e-05,3.63049247121637e-05,4.89665584990358e-05,NA,8e-07,"Herbivore","Eutherian"
"153",1,1,"Mammal","Artiodactyla","Silvicapra grimmia",12900,1.35484423196174e-05,1.03243972756904e-05,1.35484423196174e-05,NA,5.40644e-07,"Herbivore","Eutherian"
"154",1,1,"Mammal","Artiodactyla","Sus scrofa",38303.5087719298,0.00038981756986579,0.000157506514005063,0.000211930812117807,0.00038981756986579,3.74284752631579e-06,"Herbivore","Eutherian"
"1130",1,1,"Mammal","Artiodactyla","Sylvicapra grimmia",11300,3.47210996387499e-05,2.6539428775938e-05,3.47210996387499e-05,NA,1.53e-06,"Herbivore","Eutherian"
"156",1,1,"Mammal","Artiodactyla","Syncerus caffer",514976.19047619,0.00111257554253936,0.000778892116929868,0.00111257554253936,NA,2.80578666666667e-06,"Herbivore","Eutherian"
"159",1,1,"Mammal","Artiodactyla","Taurotragus oryx",382085.714285714,6.12728403514286e-05,7.20030481013011e-05,0.000102146073277303,6.12728403514286e-05,3.22134285714286e-07,"Herbivore","Eutherian"
"1208",1,1,"Mammal","Artiodactyla","Tayassu pecari",28550,0.000222633925792537,0.000166583241258358,0.000222633925792537,NA,4.9e-06,"Herbivore","Eutherian"
"160",1,1,"Mammal","Artiodactyla","Tayassu tajacu",19610,0.000331961226933223,0.000250541273478769,0.000331961226933223,NA,9.68e-06,"Herbivore","Eutherian"
"161",1,1,"Mammal","Artiodactyla","Tetracerus quadricornis",27000,6.0183749440798e-06,4.50896410846589e-06,6.0183749440798e-06,NA,1.38115205925926e-07,"Herbivore","Eutherian"
"1265",1,1,"Mammal","Artiodactyla","Tragelaphus angasi",90600,2.25518197807142e-05,1.64318532584484e-05,2.25518197807142e-05,NA,2.09e-07,"Herbivore","Eutherian"
"163",1,1,"Mammal","Artiodactyla","Tragelaphus angasii",58000,0.000165047510671857,0.000121497974758722,0.000165047510671857,NA,2.136265e-06,"Herbivore","Eutherian"
"1274",1,1,"Mammal","Artiodactyla","Tragelaphus imberbis",110000,2.27101914438804e-05,1.64735678003997e-05,2.27101914438804e-05,NA,1.82e-07,"Herbivore","Eutherian"
"164",1,1,"Mammal","Artiodactyla","Tragelaphus scriptus",35475.8620689655,0.000122857360012476,9.14685142958201e-05,0.000122857360012476,NA,2.29802689655172e-06,"Herbivore","Eutherian"
"165",1,1,"Mammal","Artiodactyla","Tragelaphus spekei",87400,0.00866547348457166,0.00631911761688681,0.00866547348457166,NA,8.25e-05,"Herbivore","Eutherian"
"166",1,1,"Mammal","Artiodactyla","Tragelaphus strepsiceros",170040,9.87506585810843e-05,7.09179592256116e-05,9.87506585810843e-05,NA,5.710984e-07,"Herbivore","Eutherian"
"1331",1,1,"Mammal","Artiodactyla","Tragulus memmina",3200,2.7344205781015e-05,2.15162097015179e-05,2.7344205781015e-05,NA,3.1e-06,"Herbivore","Eutherian"
"1332",1,1,"Mammal","Artiodactyla","Vicugna vicugna",47500,0.000232840135887207,0.000172191930548646,0.000232840135887207,NA,3.5e-06,"Herbivore","Eutherian"
"54",1,2,"Mammal","Carnivora","Acinonyx jubatus",43200,1.09341439211199e-06,1.01761504465906e-06,1.14960254352359e-06,1.09341439211199e-06,2.18234285714286e-08,"Carnivore","Eutherian"
"1368",1,1,"Mammal","Carnivora","Ailuropoda melanoleuca",118000,1.36795806062381e-05,1.15248928912201e-05,1.36795806062381e-05,NA,1.21e-07,"Herbivore","Eutherian"
"1369",1,2,"Mammal","Carnivora","Alopex lagopus",5500,1.92473427282377e-06,1.77911542444063e-06,1.92473427282377e-06,NA,1.75e-07,"Carnivore","Eutherian"
"1370",1,2,"Mammal","Carnivora","Atilax paludrinosus",3075,1.76749985528625e-05,1.65384803320055e-05,1.76749985528625e-05,NA,2.5e-06,"Carnivore","Eutherian"
"1371",1,2,"Mammal","Carnivora","Bassariscus astutus",1020,6.72381720812539e-06,6.43896784690307e-06,6.72381720812539e-06,NA,2.2e-06,"Carnivore","Eutherian"
"1372",1,2,"Mammal","Carnivora","Bdeogale nigripes",1000,1.20425117375277e-06,1.15371367406786e-06,1.20425117375277e-06,NA,4e-07,"Carnivore","Eutherian"
"1373",1,2,"Mammal","Carnivora","Canis adustus",5440,2.508650073835e-06,2.31938835083595e-06,2.508650073835e-06,NA,2.3e-07,"Carnivore","Eutherian"
