"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group"
"2592",1,9,"Mammal","Rodentia","Rattus muelleri",321,4.68484426835142e-05,4.18725218913208e-05,4.68484426835142e-05,NA,3.8e-05,"Omnivore","Eutherian"
"2593",1,9,"Mammal","Rodentia","Rattus rattus",122,0.0028105,0.00216125079793647,0.00234891256517758,0.0028105,0.00365,"Omnivore","Eutherian"
"2594",1,9,"Mammal","Rodentia","Rattus tiomanicus",112,0.00013792422390034,0.000127231052145783,0.00013792422390034,NA,0.000227,"Omnivore","Eutherian"
"2595",1,9,"Mammal","Rodentia","Rattus villosissimus",251,0.00271722222185,0.00315213367810645,0.00350078732821326,0.00271722222185,0.00335,"Omnivore","Eutherian"
"2596",1,9,"Mammal","Rodentia","Rattus whiteheadi",54,1.86071042719865e-05,1.75443017788753e-05,1.86071042719865e-05,NA,5e-05,"Omnivore","Eutherian"
"2597",1,1,"Mammal","Rodentia","Reithrodon auritus",85,2.9532e-05,3.43773520021771e-05,3.48304262438964e-05,2.9532e-05,6.9e-05,"Herbivore","Eutherian"
"2598",1,9,"Mammal","Rodentia","Reithrodontomys fulvescens",21,0.000117970312671555,0.000114428778528401,0.000117970312671555,NA,0.000598,"Omnivore","Eutherian"
"2599",1,9,"Mammal","Rodentia","Reithrodontomys megalotis",16,0.00016999999983,0.00024587011850982,0.000251420241722136,0.00016999999983,0.00153,"Omnivore","Eutherian"
"150",1,1,"Mammal","Rodentia","Rhabdomys pumilio",44,0.0001492000001865,0.000259240698715903,0.000272164657891671,0.0001492000001865,0.00083925,"Herbivore","Eutherian"
"2602",1,2,"Mammal","Rodentia","Rhinosciurus laticaudatus",253,1.13464741006195e-05,1.1281526537444e-05,1.13464741006195e-05,NA,1.08e-05,"Carnivore","Eutherian"
"2603",1,1,"Mammal","Rodentia","Rhipidomys mastacalis",115,8.90618313707232e-05,8.93499501320487e-05,8.90618313707232e-05,NA,0.000144,"Herbivore","Eutherian"
"2604",1,9,"Mammal","Rodentia","Saccostomus campestris",45,0.00023838,0.000271550731693503,0.000286429828071142,0.00023838,0.00087,"Omnivore","Eutherian"
"2605",1,1,"Mammal","Rodentia","Sciurus carolinensis",530,0.001445462,0.00131888670248677,0.00121051892297169,0.001445462,0.000701,"Herbivore","Eutherian"
"2606",1,1,"Mammal","Rodentia","Sciurus granatensis",275,5.00016417847716e-05,5.25815325238964e-05,5.00016417847716e-05,NA,4.5e-05,"Herbivore","Eutherian"
"2607",1,1,"Mammal","Rodentia","Sciurus griseus",680,0.000879961031104844,0.000971726241548383,0.000879961031104844,NA,0.000431,"Herbivore","Eutherian"
"2608",1,1,"Mammal","Rodentia","Sciurus langsdorffi",275,0.000333344278565144,0.00035054355015931,0.000333344278565144,NA,3e-04,"Herbivore","Eutherian"
"2609",1,1,"Mammal","Rodentia","Sciurus spp.",338,0.000126231718483026,0.000134231673988492,0.000126231718483026,NA,9.89e-05,"Herbivore","Eutherian"
"152",1,1,"Mammal","Rodentia","Sciurus vulgaris",300,7.48065091599929e-06,7.90367268457311e-06,7.48065091599929e-06,NA,6.35e-06,"Herbivore","Eutherian"
"2612",1,9,"Mammal","Rodentia","Sigmodon fulviventer",120,0.00199127777794,0.000855374908645366,0.000929186376297617,0.00199127777794,0.00146,"Omnivore","Eutherian"
"2613",1,9,"Mammal","Rodentia","Sigmodon hispidus",129,0.00156633333432,0.00136245089751928,0.00148323320768911,0.00156633333432,0.00222,"Omnivore","Eutherian"
"2614",1,1,"Mammal","Rodentia","Sigmomys alstoni",50,1.76692464246106e-05,1.69467888260383e-05,1.76692464246106e-05,NA,5e-05,"Herbivore","Eutherian"
"2615",1,9,"Mammal","Rodentia","Spermophilus armatus",350,0.00417525000057,0.0059755562711886,0.00670303167042253,0.00417525000057,0.00513,"Omnivore","Eutherian"
"2616",1,9,"Mammal","Rodentia","Spermophilus franklini",500,0.00083026747984183,0.00073228145872514,0.00083026747984183,NA,5e-04,"Omnivore","Eutherian"
"2617",1,9,"Mammal","Rodentia","Spermophilus richardsonii",351,0.00241444444408,0.00382763311593249,0.00429398384725094,0.00241444444408,0.00328,"Omnivore","Eutherian"
"2618",1,9,"Mammal","Rodentia","Spermophilus spilosoma",107,5.3958333345e-05,5.71508870060168e-05,6.18693250363363e-05,5.3958333345e-05,0.000105,"Omnivore","Eutherian"
"2619",1,9,"Mammal","Rodentia","Spermophilus tridecemlineatus",200,0.000183733333404,0.000258617356436034,0.000285272204022574,0.000183733333404,0.000318,"Omnivore","Eutherian"
"2620",1,9,"Mammal","Rodentia","Spermophilus undulatus",800,0.00108258333348,0.000653532217992952,0.000751502780136247,0.00108258333348,0.00033,"Omnivore","Eutherian"
"2621",1,2,"Mammal","Rodentia","Spilogale putorius",595,8.180555555e-06,9.82598486141964e-06,9.33223326543638e-06,8.180555555e-06,5e-06,"Carnivore","Eutherian"
"196",1,9,"Mammal","Rodentia","Stochomys longicaudatus",78,3.52752777404e-05,3.73671539762841e-05,4.00704065942962e-05,3.52752777404e-05,8.41e-05,"Omnivore","Eutherian"
"2624",1,1,"Mammal","Rodentia","Sundasciurus tenuis",100,1.29499477591558e-05,1.28941591488704e-05,1.29499477591558e-05,NA,2.3e-05,"Herbivore","Eutherian"
"2625",1,1,"Mammal","Rodentia","Synaptomys cooperi",27,0.000432104071382755,0.000400873189450767,0.000432104071382755,NA,0.00185,"Herbivore","Eutherian"
"2626",1,1,"Mammal","Rodentia","Tachyoryctes splendens",200,0.003216850001274,0.00354408108731972,0.00342864894268641,0.003216850001274,0.003822,"Herbivore","Eutherian"
"2627",1,1,"Mammal","Rodentia","Talerillus pygargus",62,0.000224589829411255,0.00021792359081215,0.000224589829411255,NA,0.00055,"Herbivore","Eutherian"
"2628",1,9,"Mammal","Rodentia","Tamias striatus",97,0.00103572222268,0.00105279536591651,0.00113636541139698,0.00103572222268,0.00206,"Omnivore","Eutherian"
"198",1,9,"Mammal","Rodentia","Tamiasciurus hudsonicus",218.5,0.000168777777764,0.000106737936195075,0.000118051968739065,0.000168777777764,0.000124,"Omnivore","Eutherian"
"2631",1,9,"Mammal","Rodentia","Tatera kempii",101,0.000410943532832001,0.000380260854174754,0.000410943532832001,NA,0.000725,"Omnivore","Eutherian"
"2632",1,1,"Mammal","Rodentia","Taterillus gracilis",51,0.000189086821402283,0.000181549501450247,0.000189086821402283,NA,0.000528,"Herbivore","Eutherian"
"162",1,1,"Mammal","Rodentia","Thamnomys dolichurus",41,7.38834355743687e-05,7.01071673509134e-05,7.38834355743687e-05,NA,0.0002389,"Herbivore","Eutherian"
"2635",1,1,"Mammal","Rodentia","Thamnomys rutilans",40,7.60439212245156e-06,7.20610776615656e-06,7.60439212245156e-06,NA,2.5e-05,"Herbivore","Eutherian"
"2636",1,1,"Mammal","Rodentia","Thomomys bottae",154,0.0014727777768,0.0016874383477575,0.00165568145996768,0.0014727777768,0.0022,"Herbivore","Eutherian"
"2637",1,1,"Mammal","Rodentia","Thomomys talpoides",93,0.00150866666584,0.00131897174361539,0.00132987984062578,0.00150866666584,0.00248,"Herbivore","Eutherian"
"2638",1,1,"Mammal","Rodentia","Uranomys ruddi",34,5.83589925453599e-05,5.48191954531606e-05,5.83589925453599e-05,NA,0.000214,"Herbivore","Eutherian"
"2639",1,2,"Mammal","Rodentia","Vulpes pallida",3250,4.03064816014456e-05,4.75520170197924e-05,4.03064816014456e-05,NA,6.9e-06,"Carnivore","Eutherian"
"2640",1,1,"Mammal","Rodentia","Zapus hudsonicus",18,0.00114365300854313,0.00103801589029979,0.00114365300854313,NA,0.00643,"Herbivore","Eutherian"
"2641",1,1,"Mammal","Rodentia","Zapus princeps",29,8.0869652121133e-05,7.53147565517567e-05,8.0869652121133e-05,NA,0.00033,"Herbivore","Eutherian"
"2642",1,2,"Mammal","Rodentia","Zelotomys hildegardeae",51,2.47102096150711e-05,2.20689413023167e-05,2.47102096150711e-05,NA,6.9e-05,"Carnivore","Eutherian"
"2643",1,1,"Mammal","Rodentia","Zygodontomys brevicauda",56,0.000106396352060874,0.000102672444263247,0.000106396352060874,NA,0.000279,"Herbivore","Eutherian"
"2644",1,9,"Mammal","Scandentia","Tupaia glis",134,3.8628e-05,4.653741876781e-05,NA,3.8628e-05,7.4e-05,"Omnivore","Eutherian"
"2645",1,9,"Mammal","Xenarthra","Bradypus infuscatus",2700,0.00128541666386816,0.00175994557054142,0.00128541666386816,NA,0.000407,"Omnivore","Eutherian"
"2646",1,9,"Mammal","Xenarthra","Bradypus tridactylus",2400,0.000499262111745706,0.000685183617792095,0.000499262111745706,NA,0.0001709,"Omnivore","Eutherian"
"2647",1,9,"Mammal","Xenarthra","Bradypus variegata",3725,0.00171294638847186,0.00233025705453819,0.00171294638847186,NA,0.0004383,"Omnivore","Eutherian"
"2648",1,9,"Mammal","Xenarthra","Cabassous unicinctus",4800,3.23568655084204e-06,4.37949671866523e-06,3.23568655084204e-06,NA,7e-07,"Omnivore","Eutherian"
"2649",1,1,"Mammal","Xenarthra","Choloepus didactylus",4150,0.000241380614920008,0.000481987697431019,0.000241380614920008,NA,5.75e-05,"Herbivore","Eutherian"
"96",1,1,"Mammal","Xenarthra","Choloepus hoffmanni",6250,0.00062975835,0.00182636168088134,0.000890988256283873,0.00062975835,0.00016185,"Herbivore","Eutherian"
"2652",1,9,"Mammal","Xenarthra","Cyclopes didactylus",400,9.7944e-06,1.95439582464577e-05,1.37395066845677e-05,9.7944e-06,1.54e-05,"Omnivore","Eutherian"
"2653",1,2,"Mammal","Xenarthra","Dasypus novemcinctatus",3500,4.98782710491458e-05,9.68179704368021e-05,4.98782710491458e-05,NA,1.33e-05,"Carnivore","Eutherian"
"2654",1,9,"Mammal","Xenarthra","Dasypus novemcinctus",3544,9.73333333236e-05,0.000112768646949588,8.28124546146827e-05,9.73333333236e-05,2.19e-05,"Omnivore","Eutherian"
"2655",1,9,"Mammal","Xenarthra","Euphractus sexcinctus",4350,2.0691666666e-05,1.76197867768195e-05,1.29923540672056e-05,2.0691666666e-05,3e-06,"Omnivore","Eutherian"
"187",1,9,"Mammal","Xenarthra","Myrmecophaga tridactyla",23500,2.0311666662e-06,2.42841492922122e-06,1.8520882014475e-06,2.0311666662e-06,1.4e-07,"Omnivore","Eutherian"
"2658",1,9,"Mammal","Xenarthra","Priodontes maximus",39400,6.755555556e-06,9.66802704493127e-06,7.45015305258872e-06,6.755555556e-06,4e-07,"Omnivore","Eutherian"
"2659",1,9,"Mammal","Xenarthra","Tamandua mexicana",4210,2.639e-05,2.99062348902879e-05,2.20376253556084e-05,2.639e-05,5.2e-06,"Omnivore","Eutherian"
"197",1,9,"Mammal","Xenarthra","Tamandua tetradactyla",4280,3.07475000028e-05,3.66181787247021e-05,2.69924949724429e-05,3.07475000028e-05,6.3e-06,"Omnivore","Eutherian"
"2662",1,9,"Mammal","Xenarthra","Tolypeutes matacus",1066,1.55876e-05,3.16694890978105e-05,2.27045874528345e-05,1.55876e-05,1.33e-05,"Omnivore","Eutherian"
"2663",2,3,"Protist","Unknown","Unknown",9.32245e-14,2.39460782406585e-05,2.39460782406585e-05,NA,NA,20108515026,"",""
"2664",2,3,"Protist","Unknown","Unknown",6.47858e-13,0.00167543172965206,0.00167543172965206,NA,NA,2.48639e+11,"",""
"2665",2,3,"Protist","Unknown","Unknown",8.43898e-13,0.0127027274232036,0.0127027274232036,NA,NA,1.48833e+12,"",""
"2666",2,3,"Protist","Unknown","Unknown",8.34315e-12,0.0374449731449408,0.0374449731449408,NA,NA,5.65757e+11,"",""
"2667",2,3,"Protist","Unknown","Unknown",2.07396e-11,0.0134525327256788,0.0134525327256788,NA,NA,90051302743,"",""
"2668",2,3,"Protist","Unknown","Unknown",5.15537e-11,0.0447069883469145,0.0447069883469145,NA,NA,1.32593e+11,"",""
"2669",2,3,"Protist","Unknown","Unknown",5.97104e-11,0.0119482198102365,0.0119482198102365,NA,NA,31075634157,"",""
"2670",2,3,"Protist","Unknown","Unknown",7.41822e-12,0.000638972931692411,0.000638972931692411,NA,NA,10723585036,"",""
"2671",2,3,"Protist","Unknown","Unknown",1.05533e-11,3.26665783616933e-05,3.26665783616933e-05,NA,NA,400036851,"",""
"2672",2,3,"Protist","Unknown","Unknown",2.86497e-11,0.000142527895116622,0.000142527895116622,NA,NA,714726689.6,"",""
"2673",2,3,"Protist","Unknown","Unknown",2.86497e-11,0.000101596763096255,0.000101596763096255,NA,NA,509471623.8,"",""
"2674",2,3,"Protist","Unknown","Unknown",1.9556e-11,1.53641616128817e-05,1.53641616128817e-05,NA,NA,108395187.3,"",""
"2675",2,3,"Protist","Unknown","Unknown",4.86127e-11,9.57477972005524e-05,9.57477972005524e-05,NA,NA,299281588.3,"",""
"2676",2,3,"Protist","Unknown","Unknown",6.52109e-11,0.00010260458653578,0.00010260458653578,NA,NA,246643684.8,"",""
"2677",2,3,"Protist","Unknown","Unknown",6.52109e-11,2.64890738822658e-05,2.64890738822658e-05,NA,NA,63675153.42,"",""
"2678",2,3,"Protist","Unknown","Unknown",1.04335e-10,1.68838295558426e-05,1.68838295558426e-05,NA,NA,26662446.68,"",""
"2679",2,3,"Protist","Unknown","Unknown",1.99104e-10,8.71870589033591e-05,8.71870589033591e-05,NA,NA,77264500.27,"",""
"2680",2,3,"Protist","Unknown","Unknown",4.80607e-10,9.27993348287584e-05,9.27993348287584e-05,NA,NA,37405029.36,"",""
"2681",2,3,"Protist","Unknown","Unknown",8.39789e-10,0.000125954202809494,0.000125954202809494,NA,NA,30825490.79,"",""
"2682",2,3,"Protist","Unknown","Unknown",3.43954e-09,0.000168875188481555,0.000168875188481555,NA,NA,11717635.92,"",""
"2683",2,3,"Protist","Unknown","Unknown",1.21633e-08,0.0003068601472937,0.0003068601472937,NA,NA,6883510.829,"",""
"2684",2,3,"Protist","Unknown","Unknown",2.68831e-08,0.000332513328134308,0.000332513328134308,NA,NA,3670793.889,"",""
"2685",2,3,"Protist","Unknown","Unknown",4.69743e-08,0.000208174554786435,0.000208174554786435,NA,NA,1395371.987,"",""
"2686",2,3,"Protist","Unknown","Unknown",1.1677e-07,0.000691844807355074,0.000691844807355074,NA,NA,2054565.542,"",""
"2687",2,3,"Protist","Unknown","Unknown",1.20251e-07,0.00153979822943524,0.00153979822943524,NA,NA,4454202.938,"",""
"2688",2,3,"Protist","Unknown","Unknown",7.97058e-08,0.00111893926519215,0.00111893926519215,NA,NA,4674982.613,"",""
"2689",2,3,"Protist","Unknown","Unknown",5.44064e-08,0.00323329709640736,0.00323329709640736,NA,NA,19005530.65,"",""
"2690",2,3,"Protist","Unknown","Unknown",4.98173e-08,0.0217056305812599,0.0217056305812599,NA,NA,138044783.5,"",""
"2691",2,3,"Protist","Unknown","Unknown",1.00818e-07,0.221517255797155,0.221517255797155,NA,NA,750153258.4,"",""
"2692",2,3,"Protist","Unknown","Unknown",9.5067e-08,1.45459855789624,1.45459855789624,NA,NA,5191465832,"",""
"2693",2,3,"Protist","Unknown","Unknown",1.27526e-07,4.30377732048319,4.30377732048319,NA,NA,11812722451,"",""
"2694",2,3,"Protist","Unknown","Unknown",3.11365e-08,0.0111966400284887,0.0111966400284887,NA,NA,108395187.3,"",""
"2695",2,3,"Protist","Unknown","Unknown",2.00406e-08,0.014159656065448,0.014159656065448,NA,NA,203259100.8,"",""
"2696",2,3,"Protist","Unknown","Unknown",1.53851e-08,0.0117330848181356,0.0117330848181356,NA,NA,213329050.3,"",""
"2697",2,3,"Protist","Unknown","Unknown",1.94608e-08,0.00230422124993802,0.00230422124993802,NA,NA,33956271.71,"",""
"2698",2,3,"Protist","Unknown","Unknown",3.20642e-08,0.00211522595350471,0.00211522595350471,NA,NA,19947110.8,"",""
"2699",2,3,"Protist","Unknown","Unknown",3.40048e-08,0.00158910093066758,0.00158910093066758,NA,NA,14218703.56,"",""
"2700",2,3,"Protist","Unknown","Unknown",2.93596e-08,0.000743144283151309,0.000743144283151309,NA,NA,7582457.766,"",""
"2701",2,3,"Protist","Unknown","Unknown",2.25393e-08,0.00115473747469248,0.00115473747469248,NA,NA,14923132.67,"",""
"2702",2,3,"Protist","Unknown","Unknown",2.06381e-08,0.000724835146748365,0.000724835146748365,NA,NA,10135145.78,"",""
"2703",2,3,"Protist","Unknown","Unknown",1.25256e-08,0.000650708402038889,0.000650708402038889,NA,NA,14218703.56,"",""
"2704",2,3,"Protist","Unknown","Unknown",1.68023e-08,0.00118700943204526,0.00118700943204526,NA,NA,19947110.8,"",""
"2705",2,3,"Protist","Unknown","Unknown",1.28991e-08,0.00137989052721045,0.00137989052721045,NA,NA,29370409.38,"",""
"2706",2,3,"Protist","Unknown","Unknown",9.6159e-09,0.0016399383646617,0.0016399383646617,NA,NA,45387890.66,"",""
"2707",2,3,"Protist","Unknown","Unknown",1.01976e-08,0.00101529374059219,0.00101529374059219,NA,NA,26662446.68,"",""
"2708",2,3,"Protist","Unknown","Unknown",6.56372e-09,0.000684741519824252,0.000684741519824252,NA,NA,26662446.68,"",""
"2709",2,3,"Protist","Unknown","Unknown",3.98364e-09,0.000417488884058965,0.000417488884058965,NA,NA,25403876.92,"",""
"2710",2,3,"Protist","Unknown","Unknown",4.48033e-09,0.000330556471483144,0.000330556471483144,NA,NA,18108396.7,"",""
"2711",2,3,"Protist","Unknown","Unknown",2.64052e-09,0.00044669891691841,0.00044669891691841,NA,NA,39258165.36,"",""
"2712",2,3,"Protist","Unknown","Unknown",3.75638e-09,0.00146197003599674,0.00146197003599674,NA,NA,93756200.69,"",""
"2713",2,3,"Protist","Unknown","Unknown",3.98364e-09,0.00216154816223235,0.00216154816223235,NA,NA,131528540.2,"",""
"2714",2,3,"Protist","Unknown","Unknown",2.80027e-09,0.00341956795484248,0.00341956795484248,NA,NA,285154349.3,"",""
"2715",2,3,"Protist","Unknown","Unknown",2.56407e-09,0.0111134226619657,0.0111134226619657,NA,NA,1002697657,"",""
"2716",2,3,"Protist","Unknown","Unknown",1.46741e-09,0.00743295560644276,0.00743295560644276,NA,NA,1104510884,"",""
"2717",2,3,"Protist","Unknown","Unknown",1.85609e-09,0.00348595723296353,0.00348595723296353,NA,NA,419855648.2,"",""
"2718",2,3,"Protist","Unknown","Unknown",2.27982e-09,0.00159252999491189,0.00159252999491189,NA,NA,159598939,"",""
"2719",2,3,"Protist","Unknown","Unknown",2.02708e-09,0.000764587327541958,0.000764587327541958,NA,NA,85111844.03,"",""
"2720",2,3,"Protist","Unknown","Unknown",1.38366e-09,0.000426721762688513,0.000426721762688513,NA,NA,66829775.16,"",""
"2721",2,3,"Protist","Unknown","Unknown",7.68953e-10,0.000264885959270748,0.000264885959270748,NA,NA,70140684.53,"",""
"2722",2,3,"Protist","Unknown","Unknown",5.09683e-10,0.000245143766036317,0.000245143766036317,NA,NA,93756200.69,"",""
"2723",2,3,"Protist","Unknown","Unknown",6.44703e-10,0.000624758372697261,0.000624758372697261,NA,NA,193664491.6,"",""
"2724",2,3,"Protist","Unknown","Unknown",5.56634e-10,0.0014412982516061,0.0014412982516061,NA,NA,509471623.8,"",""
"2725",2,3,"Protist","Unknown","Unknown",4.14954e-10,0.00496382521999195,0.00496382521999195,NA,NA,2281550049,"",""
"2726",2,3,"Protist","Unknown","Unknown",7.2507e-10,0.0225722153091714,0.0225722153091714,NA,NA,6299411805,"",""
"2727",2,3,"Protist","Unknown","Unknown",1.75021e-09,0.10251021040209,0.10251021040209,NA,NA,13012178132,"",""
"2728",2,3,"Protist","Unknown","Unknown",3.58278e-10,0.0422627085957519,0.0422627085957519,NA,NA,22150829794,"",""
"2729",2,3,"Protist","Unknown","Unknown",1.31971e-10,0.0123359416606016,0.0123359416606016,NA,NA,15789558986,"",""
"2730",2,3,"Protist","Unknown","Unknown",3.12889e-11,0.00200125967742125,0.00200125967742125,NA,NA,9275343455,"",""
"2731",2,3,"Protist","Unknown","Unknown",2.01391e-11,0.00128595666373394,0.00128595666373394,NA,NA,8837308175,"",""
"2732",2,3,"Protist","Unknown","Unknown",2.47366e-11,0.00095286305117348,0.00095286305117348,NA,NA,5448663657,"",""
"2733",2,3,"Protist","Unknown","Unknown",5.79816e-11,0.00119874264601748,0.00119874264601748,NA,NA,3200737072,"",""
"2734",2,3,"Protist","Unknown","Unknown",5.79816e-11,0.00077570386582791,0.00077570386582791,NA,NA,2071190283,"",""
"2735",2,3,"Protist","Unknown","Unknown",1.01314e-10,0.00100314340027716,0.00100314340027716,NA,NA,1626297521,"",""
"2736",2,3,"Protist","Unknown","Unknown",1.07443e-10,0.000511820604959794,0.000511820604959794,NA,NA,787317672.6,"",""
"2737",2,3,"Protist","Unknown","Unknown",8.24841e-11,0.000261486646692355,0.000261486646692355,NA,NA,509471623.8,"",""
"2738",2,3,"Protist","Unknown","Unknown",1.57406e-10,0.000273723161779232,0.000273723161779232,NA,NA,299281588.3,"",""
"2739",2,3,"Protist","Unknown","Unknown",2.59352e-10,0.000335870472116857,0.000335870472116857,NA,NA,234995745.7,"",""
"2740",2,3,"Protist","Unknown","Unknown",4.40068e-10,0.000653854644440299,0.000653854644440299,NA,NA,285154349.3,"",""
"2741",2,3,"Protist","Unknown","Unknown",4.14954e-10,0.00134498202784944,0.00134498202784944,NA,NA,618201422.4,"",""
"2742",2,3,"Protist","Unknown","Unknown",2.83244e-10,0.000787854833508136,0.000787854833508136,NA,NA,509471623.8,"",""
"2743",2,3,"Protist","Unknown","Unknown",1.62099e-10,0.000580454444821482,0.000580454444821482,NA,NA,618201422.4,"",""
"2744",2,3,"Protist","Unknown","Unknown",1.66932e-10,0.00123090609021567,0.00123090609021567,NA,NA,1276967958,"",""
"2745",2,3,"Protist","Unknown","Unknown",2.67085e-10,0.001620649770431,0.001620649770431,NA,NA,1104510884,"",""
"2746",2,3,"Protist","Unknown","Unknown",2.83244e-10,0.00320292082884918,0.00320292082884918,NA,NA,2071190283,"",""
"2747",2,3,"Protist","Unknown","Unknown",2.67085e-10,0.00839091211177513,0.00839091211177513,NA,NA,5718603688,"",""
"2748",2,3,"Protist","Unknown","Unknown",1.48426e-10,0.00573752309109865,0.00573752309109865,NA,NA,6611499965,"",""
"2749",2,3,"Protist","Unknown","Unknown",8.00958e-11,0.00330538180207575,0.00330538180207575,NA,NA,6611499965,"",""
"2750",2,3,"Protist","Unknown","Unknown",8.24841e-11,0.00189928227725966,0.00189928227725966,NA,NA,3700496519,"",""
"2751",2,3,"Protist","Unknown","Unknown",1.24443e-10,0.00261371435609674,0.00261371435609674,NA,NA,3525818888,"",""
"2752",2,3,"Protist","Unknown","Unknown",1.87741e-10,0.00296412408584827,0.00296412408584827,NA,NA,2768471136,"",""
"2753",2,3,"Protist","Unknown","Unknown",1.35906e-10,0.0014368778720517,0.0014368778720517,NA,NA,1791471898,"",""
"2754",2,3,"Protist","Unknown","Unknown",2.37476e-10,0.000990942728983334,0.000990942728983334,NA,NA,750153258.4,"",""
"2755",2,3,"Protist","Unknown","Unknown",3.68952e-10,0.00196397332123032,0.00196397332123032,NA,NA,1002697657,"",""
"2756",2,3,"Protist","Unknown","Unknown",2.05041e-10,0.00408451144141801,0.00408451144141801,NA,NA,3525818888,"",""
"2757",2,3,"Protist","Unknown","Unknown",1.2815e-10,0.000387717102833486,0.000387717102833486,NA,NA,509471623.8,"",""
"2758",2,3,"Protist","Unknown","Unknown",9.00824e-11,0.00139563751476746,0.00139563751476746,NA,NA,2513217065,"",""
"2759",2,3,"Protist","Unknown","Unknown",2.23929e-10,0.000501410201375294,0.000501410201375294,NA,NA,400036851,"",""
"2760",2,3,"Protist","Unknown","Unknown",3.37831e-10,0.00036796106986032,0.00036796106986032,NA,NA,203259100.8,"",""
"2761",2,3,"Protist","Unknown","Unknown",4.80607e-10,0.000415580214869662,0.000415580214869662,NA,NA,167509715.1,"",""
"2762",2,3,"Protist","Unknown","Unknown",6.83707e-10,0.000386792749593388,0.000386792749593388,NA,NA,113765348.1,"",""
"2763",2,3,"Protist","Unknown","Unknown",1.00164e-09,0.000251004059087475,0.000251004059087475,NA,NA,52474704.3,"",""
"2764",2,3,"Protist","Unknown","Unknown",2.34779e-09,0.000754125956626144,0.000754125956626144,NA,NA,73617319.47,"",""
"2765",2,3,"Protist","Unknown","Unknown",2.71919e-09,0.00161251395840929,0.00161251395840929,NA,NA,138044783.5,"",""
"2766",2,3,"Protist","Unknown","Unknown",3.64762e-09,0.000723570900947994,0.000723570900947994,NA,NA,47637613.88,"",""
"2767",2,3,"Protist","Unknown","Unknown",4.10242e-09,0.000572891513757496,0.000572891513757496,NA,NA,33956271.71,"",""
"2768",2,3,"Protist","Unknown","Unknown",7.60221e-09,0.000947490268106811,0.000947490268106811,NA,NA,32353405.43,"",""
"2769",2,3,"Protist","Unknown","Unknown",1.11373e-08,0.000905327615504105,0.000905327615504105,NA,NA,21973032.6,"",""
"2770",2,3,"Protist","Unknown","Unknown",1.78193e-08,0.000891765676696496,0.000891765676696496,NA,NA,14218703.56,"",""
"2771",2,3,"Protist","Unknown","Unknown",2.06381e-08,0.00157144521202216,0.00157144521202216,NA,NA,21973032.6,"",""
"2772",2,3,"Protist","Unknown","Unknown",2.68831e-08,0.00135178946580499,0.00135178946580499,NA,NA,14923132.67,"",""
"2773",2,3,"Protist","Unknown","Unknown",3.50179e-08,0.000869961170329764,0.000869961170329764,NA,NA,7582457.766,"",""
"2774",2,3,"Protist","Unknown","Unknown",6.33228e-11,0.00220789928872654,0.00220789928872654,NA,NA,5448663657,"",""
"2775",2,3,"Protist","Unknown","Unknown",4.1972e-11,0.00160439190060018,0.00160439190060018,NA,NA,5718603688,"",""
"2776",2,3,"Protist","Unknown","Unknown",1.2084e-10,0.00340307015074601,0.00340307015074601,NA,NA,4712810746,"",""
"2777",2,3,"Protist","Unknown","Unknown",3.47904e-10,0.00624322870351208,0.00624322870351208,NA,NA,3359309360,"",""
"2778",2,3,"Protist","Unknown","Unknown",5.7e-08,5.32068927058014e-05,5.32068927058014e-05,NA,NA,3e+05,"","Marine"
"2779",2,3,"Protist","Unknown","Unknown",1.19e-07,0.000171239325654978,0.000171239325654978,NA,NA,5e+05,"","Marine"
"2780",2,3,"Protist","Unknown","Unknown",6.89e-08,0.000294164690052021,0.000294164690052021,NA,NA,1400000,"","Marine"
"2781",2,3,"Protist","Unknown","Unknown",1.32e-08,7.67374914916366e-05,7.67374914916366e-05,NA,NA,1600000,"","Marine"
"2782",2,3,"Protist","Unknown","Unknown",3.92e-09,3.23983028429334e-05,3.23983028429334e-05,NA,NA,2e+06,"","Marine"
"2783",2,3,"Protist","Unknown","Unknown",1.19e-07,0.000684957302619911,0.000684957302619911,NA,NA,2e+06,"","Marine"
"2784",2,3,"Protist","Unknown","Unknown",8.41e-08,0.000527328733385257,0.000527328733385257,NA,NA,2100000,"","Marine"
"2785",2,3,"Protist","Unknown","Unknown",7.54e-09,6.39568675781686e-05,6.39568675781686e-05,NA,NA,2200000,"","Marine"
"2786",2,3,"Protist","Unknown","Unknown",1.5e-08,0.000125816026162519,0.000125816026162519,NA,NA,2340000,"","Marine"
"2787",2,3,"Protist","Unknown","Unknown",9e-08,0.000640322210522865,0.000640322210522865,NA,NA,2400000,"","Marine"
"2788",2,3,"Protist","Unknown","Unknown",1.29e-07,0.00110428958660002,0.00110428958660002,NA,NA,3e+06,"","Marine"
"2789",2,3,"Protist","Unknown","Unknown",5.73e-08,0.000534571754377744,0.000534571754377744,NA,NA,3e+06,"","Marine"
"2790",2,3,"Protist","Unknown","Unknown",4.85e-09,6.0744831152538e-05,6.0744831152538e-05,NA,NA,3100000,"","Marine"
"2791",2,3,"Protist","Unknown","Unknown",9.84e-08,0.000968003541303369,0.000968003541303369,NA,NA,3350000,"","Marine"
