"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"70",1,1,"Mammal","Artiodactyla","Cephalophus natalensis",10000,0.164473684,"Herbivore","Eutherian",6.0800000077824
"71",1,1,"Mammal","Artiodactyla","Cephalophus niger",18100,0.168918919,"Herbivore","Eutherian",5.9199999971584
"72",1,1,"Mammal","Artiodactyla","Cephalophus nigrifrons",13900,0.139664804,"Herbivore","Eutherian",7.1600000240576
"73",1,1,"Mammal","Artiodactyla","Cephalophus rufilatus",13000,0.164473684,"Herbivore","Eutherian",6.0800000077824
"74",1,1,"Mammal","Artiodactyla","Cephalophus silvicultor",62000,0.111111111,"Herbivore","Eutherian",9.000000009
"123",1,1,"Mammal","Artiodactyla","Cervus elaphus",143111.111111111,0.0908183421111111,"Herbivore","Eutherian",11.0109915767517
"84",1,1,"Mammal","Artiodactyla","Cervus nippon",42000,0.095057034,"Herbivore","Eutherian",10.5200000244064
"85",1,1,"Mammal","Artiodactyla","Connochaetes gnou",132250,0.114678899,"Herbivore","Eutherian",8.7200000062784
"86",1,1,"Mammal","Artiodactyla","Connochaetes taurinus",164500,0.102880658,"Herbivore","Eutherian",9.7200000412128
"130",1,1,"Mammal","Artiodactyla","Dama dama",59250,0.109741706,"Herbivore","Eutherian",9.11230594501602
"131",1,1,"Mammal","Artiodactyla","Damaliscus korrigum",98000,0.174,"Herbivore","Eutherian",5.74712643678161
"91",1,1,"Mammal","Artiodactyla","Damaliscus lunatus",110000,0.105932203,"Herbivore","Eutherian",9.4400000347392
"92",1,1,"Mammal","Artiodactyla","Damaliscus pygargus",84500,0.108695652,"Herbivore","Eutherian",9.20000001472
"93",1,1,"Mammal","Artiodactyla","Elaphodus cephalophus",33500,0.110132159,"Herbivore","Eutherian",9.0799999662224
"137",1,1,"Mammal","Artiodactyla","Elaphurus davidianus",178833.333333333,0.113303030333333,"Herbivore","Eutherian",8.82588927284678
"97",1,1,"Mammal","Artiodactyla","Eudorcas rufifrons",15011,0.172413793,"Herbivore","Eutherian",5.80000000348
"98",1,1,"Mammal","Artiodactyla","Eudorcas thomsonii",25000,0.125,"Herbivore","Eutherian",8
"99",1,1,"Mammal","Artiodactyla","Gazella cuvieri",17500,0.139664804,"Herbivore","Eutherian",7.1600000240576
"1462",1,1,"Mammal","Artiodactyla","Gazella dorcas",18750,0.154742616,"Herbivore","Eutherian",6.46234389626708
"1479",1,1,"Mammal","Artiodactyla","Gazella gazella",22875,0.174806011,"Herbivore","Eutherian",5.72062707843611
"104",1,1,"Mammal","Artiodactyla","Gazella leptoceros",48500,0.171232877,"Herbivore","Eutherian",5.8399999901888
"105",1,1,"Mammal","Artiodactyla","Gazella subgutturosa",48500,0.153374233,"Herbivore","Eutherian",6.5200000054768
"1504",1,1,"Mammal","Artiodactyla","Giraffa camelopardalis",875000,0.08257278475,"Herbivore","Eutherian",12.1105277365615
"110",1,1,"Mammal","Artiodactyla","Hemitragus hylocrius",75000,0.144508671,"Herbivore","Eutherian",6.9199999770256
"1511",1,1,"Mammal","Artiodactyla","Hemitragus jemlahicus",62600,0.1853394495,"Herbivore","Eutherian",5.39550539670725
"113",1,1,"Mammal","Artiodactyla","Hexaprotodon liberiensis",215000,0.059101655,"Herbivore","Eutherian",16.919999956008
"1521",1,1,"Mammal","Artiodactyla","Hippopotamus amphibius",1842000,0.0445699346,"Herbivore","Eutherian",22.4366494807466
"119",1,1,"Mammal","Artiodactyla","Hippotragus equinus",225000,0.096525097,"Herbivore","Eutherian",10.3599999490288
"120",1,1,"Mammal","Artiodactyla","Hippotragus niger",225000,0.112612613,"Herbivore","Eutherian",8.8799999694528
"15310",1,1,"Mammal","Artiodactyla","Hydropotes inermis",12500,0.1964280575,"Herbivore","Eutherian",5.09092241061336
"15410",1,1,"Mammal","Artiodactyla","Hyemoschus aquaticus",10900,0.189,"Herbivore","Eutherian",5.29100529100529
"15510",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymnus",192666.5,0.1101666665,"Herbivore","Eutherian",9.07715583824078
"15610",1,1,"Mammal","Artiodactyla","Kobus kob",111500,0.1600776255,"Herbivore","Eutherian",6.24696922431549
"157",1,1,"Mammal","Artiodactyla","Kobus leche",102900,0.1337125985,"Herbivore","Eutherian",7.4787268456233
"158",1,1,"Mammal","Artiodactyla","Kobus megaceros",88750,0.187241706,"Herbivore","Eutherian",5.34069049766082
"133",1,1,"Mammal","Artiodactyla","Lama glama",140000,0.08650519,"Herbivore","Eutherian",11.560000041616
"159",1,1,"Mammal","Artiodactyla","Lama guanicoe",106250,0.100591988,"Herbivore","Eutherian",9.94114958738066
"162",1,1,"Mammal","Artiodactyla","Litocranius walleri",39833.3333333333,0.226836223666667,"Herbivore","Eutherian",4.40846697161336
"139",1,1,"Mammal","Artiodactyla","Madoqua guentheri",4550,0.142857143,"Herbivore","Eutherian",6.999999993
"140",1,1,"Mammal","Artiodactyla","Madoqua kirkii",5000,0.144508671,"Herbivore","Eutherian",6.9199999770256
"16510",1,1,"Mammal","Artiodactyla","Mazama americana",26200,0.190732943333333,"Herbivore","Eutherian",5.24293277565772
"144",1,1,"Mammal","Artiodactyla","Mazama gouazoubira",17000,0.168918919,"Herbivore","Eutherian",5.9199999971584
"145",1,1,"Mammal","Artiodactyla","Moschiola meminna",2450,0.172413793,"Herbivore","Eutherian",5.80000000348
"146",1,1,"Mammal","Artiodactyla","Muntiacus muntjak",21000,0.132978723,"Herbivore","Eutherian",7.5200000228608
"147",1,1,"Mammal","Artiodactyla","Muntiacus reevesi",18000,0.107758621,"Herbivore","Eutherian",9.2799999732736
"148",1,1,"Mammal","Artiodactyla","Naemorhedus baileyi",28863,0.131578947,"Herbivore","Eutherian",7.60000002128
