UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Growth_rate_per_yr,Trophic,Group,Family,Genus,Reference,Notes,Notes_measure,,
42,1,1,Mammal,Artiodactyla,Bos taurus,526865.7897,284507.5264,0.54,Herbivore,Eutherian,Bovidae,Bos,"Skeat 1990; after Duncan et al. 2007, method: count",,,,
43,1,1,Mammal,Artiodactyla,Bos taurus,526865.7897,284507.5264,0.54,Herbivore,Eutherian,Bovidae,Bos,"Skeat 1990; after Duncan et al. 2007, method: count",,,,
44,1,1,Mammal,Artiodactyla,Bos taurus,526865.7897,136985.1053,0.26,Herbivore,Eutherian,Bovidae,Bos,"Eberhardt 1987; after Duncan et al. 2007, method: count",,,,
45,1,1,Mammal,Artiodactyla,Bos taurus,750000,1.87E+05,0.249546933,Herbivore,Eutherian,Bovidae,Bos,AnAge Data,HAGRID: 1564; Refs: 36;189;434;436;715;700;000;000;000;000;000,captivity; large sample size; questionable quality,,
46,1,1,Mammal,Artiodactyla,Boselaphus tragocamelus,169000,46708.87065,0.27638385,Herbivore,Eutherian,Bovidae,Boselaphus,Hatton et al 2015; from life history,,,,
47,1,1,Mammal,Artiodactyla,Boselaphus tragocamelus,180000,5.09E+04,0.282770167,Herbivore,Eutherian,Bovidae,Boselaphus,AnAge Data,HAGRID: 1565; Refs: 455;671;951,captivity; large sample size; high quality,,
48,1,1,Mammal,Artiodactyla,Bubalus bubalis,576633.6733,190289.1122,0.33,Herbivore,Eutherian,Bovidae,Bubalus,"Skeat 1990; after Duncan et al. 2007, method: count",African ecosystems,,,
49,1,1,Mammal,Artiodactyla,Bubalus bubalis,800000,181549.256,0.22693657,Herbivore,Eutherian,Bovidae,Bubalus,Hatton et al 2015; from life history,African ecosystems,,,
50,1,1,Mammal,Artiodactyla,Bubalus bubalis,725000,2.19E+05,0.302446621,Herbivore,Eutherian,Bovidae,Bubalus,AnAge Data,HAGRID: 1566; Refs: 81;82;434;455;610;671;1013,captivity; medium sample size; acceptable quality,,
51,1,1,Mammal,Artiodactyla,Bubalus depressicornis,155000,3.59E+04,0.231832,Herbivore,Eutherian,Bovidae,Bubalus,AnAge Data,HAGRID: 1567; Refs: 434;448;455;610;671;000,captivity; medium sample size; acceptable quality,,
52,1,1,Mammal,Artiodactyla,Budorcas taxicolor,180000,4.30E+04,0.238743056,Herbivore,Eutherian,Bovidae,Budorcas,AnAge Data,HAGRID: 1570; Refs: 434;448;455;671,captivity; medium sample size; acceptable quality,,
53,1,1,Mammal,Artiodactyla,Camelus bactrianus,475000,6.09E+04,0.128162653,Herbivore,Eutherian,Camelidae,Camelus,AnAge Data,HAGRID: 1658; Refs: 434;436;455;671,captivity; large sample size; high quality,,
54,1,1,Mammal,Artiodactyla,Camelus dromedarius,414095.0127,57973.30178,0.14,Herbivore,Eutherian,Camelidae,Camelus,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",,,,
55,1,1,Mammal,Artiodactyla,Camelus dromedarius,450000,121430.1049,0.269844678,Herbivore,Eutherian,Camelidae,Camelus,Ernest et al. 2003,,,,
56,1,1,Mammal,Artiodactyla,Camelus dromedarius,434000,7.06E+04,0.162566267,Herbivore,Eutherian,Camelidae,Camelus,AnAge Data,HAGRID: 1659; Refs: 3;630;230;343;445;560;000;000;000;000;000,captivity; medium sample size; acceptable quality,,
57,1,1,Mammal,Artiodactyla,Capra cylindricornis,50000,1.21E+04,0.241159,Herbivore,Eutherian,Bovidae,Capra,AnAge Data,HAGRID: 1572; Refs: 434;455;610;671,captivity; small sample size; acceptable quality,,
58,1,1,Mammal,Artiodactyla,Capra hircus,49602.09274,21080.88941,0.425,Herbivore,Eutherian,Bovidae,Capra,"Parkes et al. 1996; after Duncan et al. 2007, method: count",,,,
59,1,1,Mammal,Artiodactyla,Capra hircus,49602.09274,19592.82663,0.395,Herbivore,Eutherian,Bovidae,Capra,"Mahood 1985; after Duncan et al. 2007, method: count",,,,
