"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Density_Nm2","Trophic","Group","Biomass_g_m2"
"2604",1,9,"Mammal","Rodentia","Saccostomus campestris",45,0.00087,"Omnivore","Eutherian",0.03915
"2605",1,1,"Mammal","Rodentia","Sciurus carolinensis",530,0.000701,"Herbivore","Eutherian",0.37153
"2606",1,1,"Mammal","Rodentia","Sciurus granatensis",275,4.5e-05,"Herbivore","Eutherian",0.012375
"2607",1,1,"Mammal","Rodentia","Sciurus griseus",680,0.000431,"Herbivore","Eutherian",0.29308
"2608",1,1,"Mammal","Rodentia","Sciurus langsdorffi",275,3e-04,"Herbivore","Eutherian",0.0825
"2609",1,1,"Mammal","Rodentia","Sciurus spp.",338,9.89e-05,"Herbivore","Eutherian",0.0334282
"152",1,1,"Mammal","Rodentia","Sciurus vulgaris",300,6.35e-06,"Herbivore","Eutherian",0.001905
"2612",1,9,"Mammal","Rodentia","Sigmodon fulviventer",120,0.00146,"Omnivore","Eutherian",0.1752
"2613",1,9,"Mammal","Rodentia","Sigmodon hispidus",129,0.00222,"Omnivore","Eutherian",0.28638
"2614",1,1,"Mammal","Rodentia","Sigmomys alstoni",50,5e-05,"Herbivore","Eutherian",0.0025
"2615",1,9,"Mammal","Rodentia","Spermophilus armatus",350,0.00513,"Omnivore","Eutherian",1.7955
"2616",1,9,"Mammal","Rodentia","Spermophilus franklini",500,5e-04,"Omnivore","Eutherian",0.25
"2617",1,9,"Mammal","Rodentia","Spermophilus richardsonii",351,0.00328,"Omnivore","Eutherian",1.15128
"2618",1,9,"Mammal","Rodentia","Spermophilus spilosoma",107,0.000105,"Omnivore","Eutherian",0.011235
"2619",1,9,"Mammal","Rodentia","Spermophilus tridecemlineatus",200,0.000318,"Omnivore","Eutherian",0.0636
"2620",1,9,"Mammal","Rodentia","Spermophilus undulatus",800,0.00033,"Omnivore","Eutherian",0.264
"2621",1,2,"Mammal","Rodentia","Spilogale putorius",595,5e-06,"Carnivore","Eutherian",0.002975
"196",1,9,"Mammal","Rodentia","Stochomys longicaudatus",78,8.41e-05,"Omnivore","Eutherian",0.0065598
"2624",1,1,"Mammal","Rodentia","Sundasciurus tenuis",100,2.3e-05,"Herbivore","Eutherian",0.0023
"2625",1,1,"Mammal","Rodentia","Synaptomys cooperi",27,0.00185,"Herbivore","Eutherian",0.04995
"2626",1,1,"Mammal","Rodentia","Tachyoryctes splendens",200,0.003822,"Herbivore","Eutherian",0.7644
"2627",1,1,"Mammal","Rodentia","Talerillus pygargus",62,0.00055,"Herbivore","Eutherian",0.0341
"2628",1,9,"Mammal","Rodentia","Tamias striatus",97,0.00206,"Omnivore","Eutherian",0.19982
"198",1,9,"Mammal","Rodentia","Tamiasciurus hudsonicus",218.5,0.000124,"Omnivore","Eutherian",0.027094
"2631",1,9,"Mammal","Rodentia","Tatera kempii",101,0.000725,"Omnivore","Eutherian",0.073225
"2632",1,1,"Mammal","Rodentia","Taterillus gracilis",51,0.000528,"Herbivore","Eutherian",0.026928
"162",1,1,"Mammal","Rodentia","Thamnomys dolichurus",41,0.0002389,"Herbivore","Eutherian",0.0097949
"2635",1,1,"Mammal","Rodentia","Thamnomys rutilans",40,2.5e-05,"Herbivore","Eutherian",0.001
"2636",1,1,"Mammal","Rodentia","Thomomys bottae",154,0.0022,"Herbivore","Eutherian",0.3388
"2637",1,1,"Mammal","Rodentia","Thomomys talpoides",93,0.00248,"Herbivore","Eutherian",0.23064
"2638",1,1,"Mammal","Rodentia","Uranomys ruddi",34,0.000214,"Herbivore","Eutherian",0.007276
"2639",1,2,"Mammal","Rodentia","Vulpes pallida",3250,6.9e-06,"Carnivore","Eutherian",0.022425
"2640",1,1,"Mammal","Rodentia","Zapus hudsonicus",18,0.00643,"Herbivore","Eutherian",0.11574
"2641",1,1,"Mammal","Rodentia","Zapus princeps",29,0.00033,"Herbivore","Eutherian",0.00957
"2642",1,2,"Mammal","Rodentia","Zelotomys hildegardeae",51,6.9e-05,"Carnivore","Eutherian",0.003519
"2643",1,1,"Mammal","Rodentia","Zygodontomys brevicauda",56,0.000279,"Herbivore","Eutherian",0.015624
"2644",1,9,"Mammal","Scandentia","Tupaia glis",134,7.4e-05,"Omnivore","Eutherian",0.009916
"2645",1,9,"Mammal","Xenarthra","Bradypus infuscatus",2700,0.000407,"Omnivore","Eutherian",1.0989
"2646",1,9,"Mammal","Xenarthra","Bradypus tridactylus",2400,0.0001709,"Omnivore","Eutherian",0.41016
"2647",1,9,"Mammal","Xenarthra","Bradypus variegata",3725,0.0004383,"Omnivore","Eutherian",1.6326675
"2648",1,9,"Mammal","Xenarthra","Cabassous unicinctus",4800,7e-07,"Omnivore","Eutherian",0.00336
"2649",1,1,"Mammal","Xenarthra","Choloepus didactylus",4150,5.75e-05,"Herbivore","Eutherian",0.238625
"96",1,1,"Mammal","Xenarthra","Choloepus hoffmanni",6250,0.00016185,"Herbivore","Eutherian",1.0115625
"2652",1,9,"Mammal","Xenarthra","Cyclopes didactylus",400,1.54e-05,"Omnivore","Eutherian",0.00616
"2653",1,2,"Mammal","Xenarthra","Dasypus novemcinctatus",3500,1.33e-05,"Carnivore","Eutherian",0.04655
"2654",1,9,"Mammal","Xenarthra","Dasypus novemcinctus",3544,2.19e-05,"Omnivore","Eutherian",0.0776136
"2655",1,9,"Mammal","Xenarthra","Euphractus sexcinctus",4350,3e-06,"Omnivore","Eutherian",0.01305
"187",1,9,"Mammal","Xenarthra","Myrmecophaga tridactyla",23500,1.4e-07,"Omnivore","Eutherian",0.00329
"2658",1,9,"Mammal","Xenarthra","Priodontes maximus",39400,4e-07,"Omnivore","Eutherian",0.01576
"2659",1,9,"Mammal","Xenarthra","Tamandua mexicana",4210,5.2e-06,"Omnivore","Eutherian",0.021892
"197",1,9,"Mammal","Xenarthra","Tamandua tetradactyla",4280,6.3e-06,"Omnivore","Eutherian",0.026964
"2662",1,9,"Mammal","Xenarthra","Tolypeutes matacus",1066,1.33e-05,"Omnivore","Eutherian",0.0141778
"2663",2,3,"Protist","Unknown","Unknown",9.32245e-14,20108515026,"","",0.00187460625904134
"2664",2,3,"Protist","Unknown","Unknown",6.47858e-13,2.48639e+11,"","",0.161082765262
"2665",2,3,"Protist","Unknown","Unknown",8.43898e-13,1.48833e+12,"","",1.25599871034
"2666",2,3,"Protist","Unknown","Unknown",8.34315e-12,5.65757e+11,"","",4.72019551455
"2667",2,3,"Protist","Unknown","Unknown",2.07396e-11,90051302743,"","",1.86762799836872
"2668",2,3,"Protist","Unknown","Unknown",5.15537e-11,1.32593e+11,"","",6.8356597441
"2669",2,3,"Protist","Unknown","Unknown",5.97104e-11,31075634157,"","",1.85553854576813
"2670",2,3,"Protist","Unknown","Unknown",7.41822e-12,10723585036,"","",0.0795499129857559
"2671",2,3,"Protist","Unknown","Unknown",1.05533e-11,400036851,"","",0.0042217088996583
"2672",2,3,"Protist","Unknown","Unknown",2.86497e-11,714726689.6,"","",0.0204767052390331
"2673",2,3,"Protist","Unknown","Unknown",2.86497e-11,509471623.8,"","",0.0145962091803829
"2674",2,3,"Protist","Unknown","Unknown",1.9556e-11,108395187.3,"","",0.0021197762828388
"2675",2,3,"Protist","Unknown","Unknown",4.86127e-11,299281588.3,"","",0.0145488860675514
"2676",2,3,"Protist","Unknown","Unknown",6.52109e-11,246643684.8,"","",0.0160838566651243
"2677",2,3,"Protist","Unknown","Unknown",6.52109e-11,63675153.42,"","",0.00415231406215628
"2678",2,3,"Protist","Unknown","Unknown",1.04335e-10,26662446.68,"","",0.0027818263743578
"2679",2,3,"Protist","Unknown","Unknown",1.99104e-10,77264500.27,"","",0.0153836710617581
"2680",2,3,"Protist","Unknown","Unknown",4.80607e-10,37405029.36,"","",0.0179771189456215
"2681",2,3,"Protist","Unknown","Unknown",8.39789e-10,30825490.79,"","",0.0258869080850433
"2682",2,3,"Protist","Unknown","Unknown",3.43954e-09,11717635.92,"","",0.0403032774522768
"2683",2,3,"Protist","Unknown","Unknown",1.21633e-08,6883510.829,"","",0.0837262072663757
"2684",2,3,"Protist","Unknown","Unknown",2.68831e-08,3670793.889,"","",0.0986823191973759
"2685",2,3,"Protist","Unknown","Unknown",4.69743e-08,1395371.987,"","",0.0655466223289341
"2686",2,3,"Protist","Unknown","Unknown",1.1677e-07,2054565.542,"","",0.23991161833934
"2687",2,3,"Protist","Unknown","Unknown",1.20251e-07,4454202.938,"","",0.535622357497438
"2688",2,3,"Protist","Unknown","Unknown",7.97058e-08,4674982.613,"","",0.372623229155255
"2689",2,3,"Protist","Unknown","Unknown",5.44064e-08,19005530.65,"","",1.03402250275616
"2690",2,3,"Protist","Unknown","Unknown",4.98173e-08,138044783.5,"","",6.87701839305455
"2691",2,3,"Protist","Unknown","Unknown",1.00818e-07,750153258.4,"","",75.6289512053712
"2692",2,3,"Protist","Unknown","Unknown",9.5067e-08,5191465832,"","",493.537082250744
"2693",2,3,"Protist","Unknown","Unknown",1.27526e-07,11812722451,"","",1506.42924328623
"2694",2,3,"Protist","Unknown","Unknown",3.11365e-08,108395187.3,"","",3.37504674936645
"2695",2,3,"Protist","Unknown","Unknown",2.00406e-08,203259100.8,"","",4.07343433549248
"2696",2,3,"Protist","Unknown","Unknown",1.53851e-08,213329050.3,"","",3.28208877177053
"2697",2,3,"Protist","Unknown","Unknown",1.94608e-08,33956271.71,"","",0.660816212493968
"2698",2,3,"Protist","Unknown","Unknown",3.20642e-08,19947110.8,"","",0.63958815011336
"2699",2,3,"Protist","Unknown","Unknown",3.40048e-08,14218703.56,"","",0.483504170817088
"2700",2,3,"Protist","Unknown","Unknown",2.93596e-08,7582457.766,"","",0.222617927026654
"2701",2,3,"Protist","Unknown","Unknown",2.25393e-08,14923132.67,"","",0.336356964188931
"2702",2,3,"Protist","Unknown","Unknown",2.06381e-08,10135145.78,"","",0.209170152122218
"2703",2,3,"Protist","Unknown","Unknown",1.25256e-08,14218703.56,"","",0.178097793311136
"2704",2,3,"Protist","Unknown","Unknown",1.68023e-08,19947110.8,"","",0.33515733979484
"2705",2,3,"Protist","Unknown","Unknown",1.28991e-08,29370409.38,"","",0.378851847633558
"2706",2,3,"Protist","Unknown","Unknown",9.6159e-09,45387890.66,"","",0.436445417797494
"2707",2,3,"Protist","Unknown","Unknown",1.01976e-08,26662446.68,"","",0.271892966263968
"2708",2,3,"Protist","Unknown","Unknown",6.56372e-09,26662446.68,"","",0.17500483452245
"2709",2,3,"Protist","Unknown","Unknown",3.98364e-09,25403876.92,"","",0.101199900253589
"2710",2,3,"Protist","Unknown","Unknown",4.48033e-09,18108396.7,"","",0.081131592986911
"2711",2,3,"Protist","Unknown","Unknown",2.64052e-09,39258165.36,"","",0.103661970796387
"2712",2,3,"Protist","Unknown","Unknown",3.75638e-09,93756200.69,"","",0.352183917147902
"2713",2,3,"Protist","Unknown","Unknown",3.98364e-09,131528540.2,"","",0.523962353882328
"2714",2,3,"Protist","Unknown","Unknown",2.80027e-09,285154349.3,"","",0.798509169714311
"2715",2,3,"Protist","Unknown","Unknown",2.56407e-09,1002697657,"","",2.57098698138399
"2716",2,3,"Protist","Unknown","Unknown",1.46741e-09,1104510884,"","",1.62077031629044
"2717",2,3,"Protist","Unknown","Unknown",1.85609e-09,419855648.2,"","",0.779289870067538
"2718",2,3,"Protist","Unknown","Unknown",2.27982e-09,159598939,"","",0.36385685311098
"2719",2,3,"Protist","Unknown","Unknown",2.02708e-09,85111844.03,"","",0.172528516796332
"2720",2,3,"Protist","Unknown","Unknown",1.38366e-09,66829775.16,"","",0.0924696866978856
"2721",2,3,"Protist","Unknown","Unknown",7.68953e-10,70140684.53,"","",0.0539348897913971
"2722",2,3,"Protist","Unknown","Unknown",5.09683e-10,93756200.69,"","",0.0477859416362813
"2723",2,3,"Protist","Unknown","Unknown",6.44703e-10,193664491.6,"","",0.124856078727995
"2724",2,3,"Protist","Unknown","Unknown",5.56634e-10,509471623.8,"","",0.283589227842289
"2725",2,3,"Protist","Unknown","Unknown",4.14954e-10,2281550049,"","",0.946738319032746
"2726",2,3,"Protist","Unknown","Unknown",7.2507e-10,6299411805,"","",4.56751451745135
"2727",2,3,"Protist","Unknown","Unknown",1.75021e-09,13012178132,"","",22.7740442884077
"2728",2,3,"Protist","Unknown","Unknown",3.58278e-10,22150829794,"","",7.93615499693473
"2729",2,3,"Protist","Unknown","Unknown",1.31971e-10,15789558986,"","",2.08376388894141
"2730",2,3,"Protist","Unknown","Unknown",3.12889e-11,9275343455,"","",0.29021529382915
"2731",2,3,"Protist","Unknown","Unknown",2.01391e-11,8837308175,"","",0.177975433067142
"2732",2,3,"Protist","Unknown","Unknown",2.47366e-11,5448663657,"","",0.134781413417746
"2733",2,3,"Protist","Unknown","Unknown",5.79816e-11,3200737072,"","",0.185583856613875
"2734",2,3,"Protist","Unknown","Unknown",5.79816e-11,2071190283,"","",0.120090926512793
"2735",2,3,"Protist","Unknown","Unknown",1.01314e-10,1626297521,"","",0.164766707042594
"2736",2,3,"Protist","Unknown","Unknown",1.07443e-10,787317672.6,"","",0.0845917726971618
"2737",2,3,"Protist","Unknown","Unknown",8.24841e-11,509471623.8,"","",0.0420233083646816
"2738",2,3,"Protist","Unknown","Unknown",1.57406e-10,299281588.3,"","",0.0471087176879498
"2739",2,3,"Protist","Unknown","Unknown",2.59352e-10,234995745.7,"","",0.0609466166387864
"2740",2,3,"Protist","Unknown","Unknown",4.40068e-10,285154349.3,"","",0.125487304187752
"2741",2,3,"Protist","Unknown","Unknown",4.14954e-10,618201422.4,"","",0.25652515303057
"2742",2,3,"Protist","Unknown","Unknown",2.83244e-10,509471623.8,"","",0.144304780611607
"2743",2,3,"Protist","Unknown","Unknown",1.62099e-10,618201422.4,"","",0.100209832369618
"2744",2,3,"Protist","Unknown","Unknown",1.66932e-10,1276967958,"","",0.213166815164856
"2745",2,3,"Protist","Unknown","Unknown",2.67085e-10,1104510884,"","",0.29499828945314
"2746",2,3,"Protist","Unknown","Unknown",2.83244e-10,2071190283,"","",0.586652220518052
"2747",2,3,"Protist","Unknown","Unknown",2.67085e-10,5718603688,"","",1.52735326600948
"2748",2,3,"Protist","Unknown","Unknown",1.48426e-10,6611499965,"","",0.98131849380509
"2749",2,3,"Protist","Unknown","Unknown",8.00958e-11,6611499965,"","",0.529553378896647
"2750",2,3,"Protist","Unknown","Unknown",8.24841e-11,3700496519,"","",0.305232124922848
"2751",2,3,"Protist","Unknown","Unknown",1.24443e-10,3525818888,"","",0.438763479879384
"2752",2,3,"Protist","Unknown","Unknown",1.87741e-10,2768471136,"","",0.519755539543776
"2753",2,3,"Protist","Unknown","Unknown",1.35906e-10,1791471898,"","",0.243471779769588
"2754",2,3,"Protist","Unknown","Unknown",2.37476e-10,750153258.4,"","",0.178143395191798
"2755",2,3,"Protist","Unknown","Unknown",3.68952e-10,1002697657,"","",0.369947305945464
"2756",2,3,"Protist","Unknown","Unknown",2.05041e-10,3525818888,"","",0.722937430614408
"2757",2,3,"Protist","Unknown","Unknown",1.2815e-10,509471623.8,"","",0.06528878858997
"2758",2,3,"Protist","Unknown","Unknown",9.00824e-11,2513217065,"","",0.226396624936156
"2759",2,3,"Protist","Unknown","Unknown",2.23929e-10,400036851,"","",0.089579852007579
"2760",2,3,"Protist","Unknown","Unknown",3.37831e-10,203259100.8,"","",0.0686672252823648
"2761",2,3,"Protist","Unknown","Unknown",4.80607e-10,167509715.1,"","",0.0805063416450657
"2762",2,3,"Protist","Unknown","Unknown",6.83707e-10,113765348.1,"","",0.0777821648534067
"2763",2,3,"Protist","Unknown","Unknown",1.00164e-09,52474704.3,"","",0.052560762815052
"2764",2,3,"Protist","Unknown","Unknown",2.34779e-09,73617319.47,"","",0.172838006478471
"2765",2,3,"Protist","Unknown","Unknown",2.71919e-09,138044783.5,"","",0.375369994845365
"2766",2,3,"Protist","Unknown","Unknown",3.64762e-09,47637613.88,"","",0.173763913140966
"2767",2,3,"Protist","Unknown","Unknown",4.10242e-09,33956271.71,"","",0.139302888188538
"2768",2,3,"Protist","Unknown","Unknown",7.60221e-09,32353405.43,"","",0.245957382294
"2769",2,3,"Protist","Unknown","Unknown",1.11373e-08,21973032.6,"","",0.24472025597598
"2770",2,3,"Protist","Unknown","Unknown",1.78193e-08,14218703.56,"","",0.253367344346708
"2771",2,3,"Protist","Unknown","Unknown",2.06381e-08,21973032.6,"","",0.45348164410206
"2772",2,3,"Protist","Unknown","Unknown",2.68831e-08,14923132.67,"","",0.401180067880877
"2773",2,3,"Protist","Unknown","Unknown",3.50179e-08,7582457.766,"","",0.265521747804011
"2774",2,3,"Protist","Unknown","Unknown",6.33228e-11,5448663657,"","",0.34502463901948
"2775",2,3,"Protist","Unknown","Unknown",4.1972e-11,5718603688,"","",0.240021233992736
"2776",2,3,"Protist","Unknown","Unknown",1.2084e-10,4712810746,"","",0.56949605054664
"2777",2,3,"Protist","Unknown","Unknown",3.47904e-10,3359309360,"","",1.16871716358144
"2778",2,3,"Protist","Unknown","Unknown",5.7e-08,3e+05,"","Marine",0.0171
"2779",2,3,"Protist","Unknown","Unknown",1.19e-07,5e+05,"","Marine",0.0595
"2780",2,3,"Protist","Unknown","Unknown",6.89e-08,1400000,"","Marine",0.09646
"2781",2,3,"Protist","Unknown","Unknown",1.32e-08,1600000,"","Marine",0.02112
"2782",2,3,"Protist","Unknown","Unknown",3.92e-09,2e+06,"","Marine",0.00784
"2783",2,3,"Protist","Unknown","Unknown",1.19e-07,2e+06,"","Marine",0.238
"2784",2,3,"Protist","Unknown","Unknown",8.41e-08,2100000,"","Marine",0.17661
"2785",2,3,"Protist","Unknown","Unknown",7.54e-09,2200000,"","Marine",0.016588
"2786",2,3,"Protist","Unknown","Unknown",1.5e-08,2340000,"","Marine",0.0351
"2787",2,3,"Protist","Unknown","Unknown",9e-08,2400000,"","Marine",0.216
"2788",2,3,"Protist","Unknown","Unknown",1.29e-07,3e+06,"","Marine",0.387
"2789",2,3,"Protist","Unknown","Unknown",5.73e-08,3e+06,"","Marine",0.1719
"2790",2,3,"Protist","Unknown","Unknown",4.85e-09,3100000,"","Marine",0.015035
"2791",2,3,"Protist","Unknown","Unknown",9.84e-08,3350000,"","Marine",0.32964
"2792",2,3,"Protist","Unknown","Unknown",2.35e-08,4e+06,"","Marine",0.094
"2793",2,3,"Protist","Unknown","Unknown",1.18e-08,4100000,"","Marine",0.04838
"2794",2,3,"Protist","Unknown","Unknown",9.6e-08,4500000,"","Marine",0.432
"2795",2,3,"Protist","Unknown","Unknown",8.52e-09,4500000,"","Marine",0.03834
"2796",2,3,"Protist","Unknown","Unknown",3.78e-08,4800000,"","Marine",0.18144
"2797",2,3,"Protist","Unknown","Unknown",5.13e-08,5250000,"","Marine",0.269325
"2798",2,3,"Protist","Unknown","Unknown",1.96e-08,5500000,"","Marine",0.1078
"2799",2,3,"Protist","Unknown","Unknown",1.35e-08,6300000,"","Marine",0.08505
"2800",2,3,"Protist","Unknown","Unknown",1.24e-08,6500000,"","Marine",0.0806
"2801",2,3,"Protist","Unknown","Unknown",1.36e-08,6500000,"","Marine",0.0884
"2802",2,3,"Protist","Unknown","Unknown",1.1e-08,6850000,"","Marine",0.07535
"2803",2,3,"Protist","Unknown","Unknown",1.56e-08,8150000,"","Marine",0.12714
"2804",2,3,"Protist","Unknown","Unknown",1.8e-09,8300000,"","Marine",0.01494
"2805",2,3,"Protist","Unknown","Unknown",1.71e-08,9e+06,"","Marine",0.1539
"2806",2,3,"Protist","Unknown","Unknown",8.92e-08,10300000,"","Marine",0.91876
"2807",2,3,"Protist","Unknown","Unknown",1.35e-08,12300000,"","Marine",0.16605
"2808",2,3,"Protist","Unknown","Unknown",9e-08,13500000,"","Marine",1.215
"2809",2,3,"Protist","Unknown","Unknown",1.92e-08,14300000,"","Marine",0.27456
"2810",2,3,"Protist","Unknown","Unknown",4.81e-08,14500000,"","Marine",0.69745
"2811",2,3,"Protist","Unknown","Unknown",8.59e-08,1.5e+07,"","Marine",1.2885
"2812",2,3,"Protist","Unknown","Unknown",1.07e-07,15200000,"","Marine",1.6264
"2813",2,3,"Protist","Unknown","Unknown",8.87e-08,16500000,"","Marine",1.46355
"2814",2,3,"Protist","Unknown","Unknown",2.93e-08,17200000,"","Marine",0.50396
"2815",2,3,"Protist","Unknown","Unknown",1.13e-07,18500000,"","Marine",2.0905
"2816",2,3,"Protist","Unknown","Unknown",1.58e-08,18700000,"","Marine",0.29546
"2817",2,3,"Protist","Unknown","Unknown",1.49e-08,21600000,"","Marine",0.32184
"2818",2,3,"Protist","Unknown","Unknown",1.73e-08,2.2e+07,"","Marine",0.3806
"2819",2,3,"Protist","Unknown","Unknown",7.58e-09,22400000,"","Marine",0.169792
"2820",2,3,"Protist","Unknown","Unknown",1.8e-09,2.3e+07,"","Marine",0.0414
"2821",2,3,"Protist","Unknown","Unknown",2.19e-08,23600000,"","Marine",0.51684
"2822",2,3,"Protist","Unknown","Unknown",1.8e-08,25300000,"","Marine",0.4554
"2823",2,3,"Protist","Unknown","Unknown",1.02e-07,2.7e+07,"","Marine",2.754
"2824",2,3,"Protist","Unknown","Unknown",3.3e-09,27200000,"","Marine",0.08976
"2825",2,3,"Protist","Unknown","Unknown",2.6e-09,29800000,"","Marine",0.07748
"2826",2,3,"Protist","Unknown","Unknown",6.67e-09,30100000,"","Marine",0.200767
"2827",2,3,"Protist","Unknown","Unknown",1.96e-08,30600000,"","Marine",0.59976
"2828",2,3,"Protist","Unknown","Unknown",1.79e-08,32600000,"","Marine",0.58354
"2829",2,3,"Protist","Unknown","Unknown",1.46e-08,34800000,"","Marine",0.50808
"2830",2,3,"Protist","Unknown","Unknown",4.48e-09,3.9e+07,"","Marine",0.17472
"2831",2,3,"Protist","Unknown","Unknown",4.05e-08,3.9e+07,"","Marine",1.5795
"2832",2,3,"Protist","Unknown","Unknown",2.73e-08,39500000,"","Marine",1.07835
"2833",2,3,"Protist","Unknown","Unknown",1.13e-09,41800000,"","Marine",0.047234
"2834",2,3,"Protist","Unknown","Unknown",9.58e-08,41800000,"","Marine",4.00444
"2835",2,3,"Protist","Unknown","Unknown",1.3e-09,43100000,"","Marine",0.05603
"2836",2,3,"Protist","Unknown","Unknown",2.36e-08,49600000,"","Marine",1.17056
"2837",2,3,"Protist","Unknown","Unknown",5.31e-09,51700000,"","Marine",0.274527
"2838",2,3,"Protist","Unknown","Unknown",3.15e-09,56900000,"","Marine",0.179235
"2839",2,3,"Protist","Unknown","Unknown",1.92e-08,59700000,"","Marine",1.14624
"2840",2,3,"Protist","Unknown","Unknown",2.09e-08,60100000,"","Marine",1.25609
"2841",2,3,"Protist","Unknown","Unknown",3.09e-08,60400000,"","Marine",1.86636
"2842",2,3,"Protist","Unknown","Unknown",1.03e-08,60500000,"","Marine",0.62315
"2843",2,3,"Protist","Unknown","Unknown",1.5e-09,64300000,"","Marine",0.09645
"2844",2,3,"Protist","Unknown","Unknown",2.69e-09,68800000,"","Marine",0.185072
"2845",2,3,"Protist","Unknown","Unknown",1.12e-07,7.5e+07,"","Marine",8.4
"2846",2,3,"Protist","Unknown","Unknown",3.36e-08,77400000,"","Marine",2.60064
"2847",2,3,"Protist","Unknown","Unknown",4.57e-09,84100000,"","Marine",0.384337
"2848",2,3,"Protist","Unknown","Unknown",1.68e-08,84800000,"","Marine",1.42464
"2849",2,3,"Protist","Unknown","Unknown",4.43e-08,86500000,"","Marine",3.83195
"2850",2,3,"Protist","Unknown","Unknown",3.34e-08,88300000,"","Marine",2.94922
"2851",2,3,"Protist","Unknown","Unknown",1.12e-09,90700000,"","Marine",0.101584
"2852",2,3,"Protist","Unknown","Unknown",2.08e-08,92800000,"","Marine",1.93024
"2853",2,3,"Protist","Unknown","Unknown",3.38e-09,94200000,"","Marine",0.318396
"2854",2,3,"Protist","Unknown","Unknown",7.84e-08,95400000,"","Marine",7.47936
"2855",2,3,"Protist","Unknown","Unknown",1.5e-09,1.1e+08,"","Marine",0.165
"2856",2,3,"Protist","Unknown","Unknown",9.15e-09,1.11e+08,"","Marine",1.01565
"2857",2,3,"Protist","Unknown","Unknown",2.82e-09,1.18e+08,"","Marine",0.33276
"2858",2,3,"Protist","Unknown","Unknown",1.82e-08,1.23e+08,"","Marine",2.2386
"2859",2,3,"Protist","Unknown","Unknown",3.16e-09,1.27e+08,"","Marine",0.40132
"2860",2,3,"Protist","Unknown","Unknown",3.14e-10,1.27e+08,"","Marine",0.039878
"2861",2,3,"Protist","Unknown","Unknown",4.71e-09,1.34e+08,"","Marine",0.63114
"2862",2,3,"Protist","Unknown","Unknown",1.44e-08,1.35e+08,"","Marine",1.944
"2863",2,3,"Protist","Unknown","Unknown",6.81e-09,1.38e+08,"","Marine",0.93978
"2864",2,3,"Protist","Unknown","Unknown",2.7e-08,1.41e+08,"","Marine",3.807
"2865",2,3,"Protist","Unknown","Unknown",1.14e-08,1.51e+08,"","Marine",1.7214
"2866",2,3,"Protist","Unknown","Unknown",5.52e-09,1.76e+08,"","Marine",0.97152
"2867",2,3,"Protist","Unknown","Unknown",1.54e-08,1.79e+08,"","Marine",2.7566
"2868",2,3,"Protist","Unknown","Unknown",3.09e-08,1.92e+08,"","Marine",5.9328
"2869",2,3,"Protist","Unknown","Unknown",5.87e-09,1.96e+08,"","Marine",1.15052
"2870",2,3,"Protist","Unknown","Unknown",4.08e-09,2.23e+08,"","Marine",0.90984
"2871",2,3,"Protist","Unknown","Unknown",4.21e-09,2.3e+08,"","Marine",0.9683
"2872",2,3,"Protist","Unknown","Unknown",9.41e-10,2.35e+08,"","Marine",0.221135
"2873",2,3,"Protist","Unknown","Unknown",9.8e-09,2.87e+08,"","Marine",2.8126
"2874",2,3,"Protist","Unknown","Unknown",5.43e-09,2.95e+08,"","Marine",1.60185
"2875",2,3,"Protist","Unknown","Unknown",1.42e-09,3.05e+08,"","Marine",0.4331
"2876",2,3,"Protist","Unknown","Unknown",9.39e-10,3.29e+08,"","Marine",0.308931
"2877",2,3,"Protist","Unknown","Unknown",1.22e-08,3.39e+08,"","Marine",4.1358
"2878",2,3,"Protist","Unknown","Unknown",1.08e-09,3.5e+08,"","Marine",0.378
"2879",2,3,"Protist","Unknown","Unknown",2.78e-09,3.66e+08,"","Marine",1.01748
"2880",2,3,"Protist","Unknown","Unknown",3.53e-10,3.89e+08,"","Marine",0.137317
"2881",2,3,"Protist","Unknown","Unknown",7.19e-09,3.9e+08,"","Marine",2.8041
"2882",2,3,"Protist","Unknown","Unknown",1.86e-08,3.92e+08,"","Marine",7.2912
"2883",2,3,"Protist","Unknown","Unknown",1.14e-08,3.98e+08,"","Marine",4.5372
"2884",2,3,"Protist","Unknown","Unknown",2.97e-09,4e+08,"","Marine",1.188
"2885",2,3,"Protist","Unknown","Unknown",2.83e-08,4.24e+08,"","Marine",11.9992
"2886",2,3,"Protist","Unknown","Unknown",3.49e-09,4.36e+08,"","Marine",1.52164
"2887",2,3,"Protist","Unknown","Unknown",1.04e-09,4.42e+08,"","Marine",0.45968
"2888",2,3,"Protist","Unknown","Unknown",2.91e-09,4.44e+08,"","Marine",1.29204
"2889",2,3,"Protist","Unknown","Unknown",2.47e-09,4.48e+08,"","Marine",1.10656
"2890",2,3,"Protist","Unknown","Unknown",3.17e-08,4.96e+08,"","Marine",15.7232
"2891",2,3,"Protist","Unknown","Unknown",9.25e-09,5.28e+08,"","Marine",4.884
"2892",2,3,"Protist","Unknown","Unknown",2.09e-09,5.43e+08,"","Marine",1.13487
"2893",2,3,"Protist","Unknown","Unknown",3.4e-09,5.45e+08,"","Marine",1.853
"2894",2,3,"Protist","Unknown","Unknown",2.7e-09,6.25e+08,"","Marine",1.6875
"2895",2,3,"Protist","Unknown","Unknown",7.48e-09,6.36e+08,"","Marine",4.75728
