"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Density_Nm2","Trophic","Group","Biomass_g_m2"
"119",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymnus",180000,2.21685263157895e-07,"Herbivore","Eutherian",0.0399033473684211
"784",1,1,"Mammal","Artiodactyla","Kobus ellipsiprymus",194000,1.69e-06,"Herbivore","Eutherian",0.32786
"785",1,1,"Mammal","Artiodactyla","Kobus leche",90600,1.55e-05,"Herbivore","Eutherian",1.4043
"786",1,1,"Mammal","Artiodactyla","Kobus vardoni",69300,1.5e-07,"Herbivore","Eutherian",0.010395
"787",1,1,"Mammal","Artiodactyla","Lama guanacoe",89000,5.1e-07,"Herbivore","Eutherian",0.04539
"788",1,1,"Mammal","Artiodactyla","Litocranius walleri",42000,1.03e-06,"Herbivore","Eutherian",0.04326
"123",1,1,"Mammal","Artiodactyla","Madoqua kirkii",5077.14285714286,1.620852e-05,"Herbivore","Eutherian",0.0822929715428571
"125",1,1,"Mammal","Artiodactyla","Mazama americana",23050,1.025e-05,"Herbivore","Eutherian",0.2362625
"798",1,1,"Mammal","Artiodactyla","Mazama gouazoubira",17350,1.04e-05,"Herbivore","Eutherian",0.18044
"1291",1,1,"Mammal","Artiodactyla","Moschiola meminna",5000,1.0724195e-06,"Herbivore","Eutherian",0.0053620975
"801",1,1,"Mammal","Artiodactyla","Moschus moschiferus",15000,8.8e-07,"Herbivore","Eutherian",0.0132
"130",1,1,"Mammal","Artiodactyla","Muntiacus muntjak",16562.5,9.157088609375e-07,"Herbivore","Eutherian",0.0151664280092773
"131",1,1,"Mammal","Artiodactyla","Naemorhedus goral",26000,3.30553666666667e-07,"Herbivore","Eutherian",0.00859439533333333
"869",1,1,"Mammal","Artiodactyla","Neotragus batesi",2650,1.5e-06,"Herbivore","Eutherian",0.003975
"870",1,1,"Mammal","Artiodactyla","Odocoileus hemionus",89300,1e-05,"Herbivore","Eutherian",0.893
"132",1,1,"Mammal","Artiodactyla","Odocoileus virginianus",68758.3333333333,4.347e-06,"Herbivore","Eutherian",0.298892475
"883",1,1,"Mammal","Artiodactyla","Okapia johnstoni",250000,4e-07,"Herbivore","Eutherian",0.1
"134",1,1,"Mammal","Artiodactyla","Oreotragus oreotragus",13144.4444444444,7.23531111111111e-07,"Herbivore","Eutherian",0.00951041449382716
"135",1,1,"Mammal","Artiodactyla","Oryx beisa",162000,2.20854e-07,"Herbivore","Eutherian",0.035778348
"903",1,1,"Mammal","Artiodactyla","Oryx gazella",167000,7.5e-07,"Herbivore","Eutherian",0.12525
"137",1,1,"Mammal","Artiodactyla","Ourebia ourebi",13031.5789473684,1.50041052631579e-07,"Herbivore","Eutherian",0.00195527182271468
"923",1,1,"Mammal","Artiodactyla","Ovibos moschatus",250000,3.6e-07,"Herbivore","Eutherian",0.09
"924",1,1,"Mammal","Artiodactyla","Ovis canadensis",75900,1.68e-06,"Herbivore","Eutherian",0.127512
"138",1,1,"Mammal","Artiodactyla","Ovis dalli",50000,4.2875e-07,"Herbivore","Eutherian",0.0214375
"929",1,1,"Mammal","Artiodactyla","Pelea capreolus",24000,5.71e-06,"Herbivore","Eutherian",0.13704
"930",1,1,"Mammal","Artiodactyla","Phacochoerus aethiopicus",60900,1.3e-06,"Herbivore","Eutherian",0.07917
"140",1,1,"Mammal","Artiodactyla","Phacochoerus africanus",57000,5.5691243902439e-07,"Herbivore","Eutherian",0.0317440090243902
"142",1,1,"Mammal","Artiodactyla","Potamochoerus larvatus",70000,1.89688e-07,"Herbivore","Eutherian",0.01327816
"143",1,1,"Mammal","Artiodactyla","Potamochoerus porcus",66600,1.685e-06,"Herbivore","Eutherian",0.112221
"146",1,1,"Mammal","Artiodactyla","Rangifer tarandus",91111.1111111111,9.97888888888889e-07,"Herbivore","Eutherian",0.0909187654320988
"147",1,1,"Mammal","Artiodactyla","Raphicerus campestris",11054.1666666667,2.55094583333333e-07,"Herbivore","Eutherian",0.00281985803993056
"148",1,1,"Mammal","Artiodactyla","Raphicerus sharpei",9076.25,1.2989375e-07,"Herbivore","Eutherian",0.0011789481484375
"1020",1,1,"Mammal","Artiodactyla","Redunca arundimum",40500,7e-06,"Herbivore","Eutherian",0.2835
"1021",1,1,"Mammal","Artiodactyla","Redunca arundinum",59400,1.46e-06,"Herbivore","Eutherian",0.086724
"1022",1,1,"Mammal","Artiodactyla","Redunca fulvorufula",28000,6.69e-06,"Herbivore","Eutherian",0.18732
"149",1,1,"Mammal","Artiodactyla","Redunca redunca",40102.9411764706,2.27346470588235e-07,"Herbivore","Eutherian",0.0091172621366782
"1057",1,1,"Mammal","Artiodactyla","Saiga tatarica",42500,8e-07,"Herbivore","Eutherian",0.034
"153",1,1,"Mammal","Artiodactyla","Silvicapra grimmia",12900,5.40644e-07,"Herbivore","Eutherian",0.0069743076
"154",1,1,"Mammal","Artiodactyla","Sus scrofa",38303.5087719298,3.74284752631579e-06,"Herbivore","Eutherian",0.143364193056233
"1130",1,1,"Mammal","Artiodactyla","Sylvicapra grimmia",11300,1.53e-06,"Herbivore","Eutherian",0.017289
"156",1,1,"Mammal","Artiodactyla","Syncerus caffer",514976.19047619,2.80578666666667e-06,"Herbivore","Eutherian",1.44491332888889
"159",1,1,"Mammal","Artiodactyla","Taurotragus oryx",382085.714285714,3.22134285714286e-07,"Herbivore","Eutherian",0.123082908653061
"1208",1,1,"Mammal","Artiodactyla","Tayassu pecari",28550,4.9e-06,"Herbivore","Eutherian",0.139895
"160",1,1,"Mammal","Artiodactyla","Tayassu tajacu",19610,9.68e-06,"Herbivore","Eutherian",0.1898248
"161",1,1,"Mammal","Artiodactyla","Tetracerus quadricornis",27000,1.38115205925926e-07,"Herbivore","Eutherian",0.00372911056
"1265",1,1,"Mammal","Artiodactyla","Tragelaphus angasi",90600,2.09e-07,"Herbivore","Eutherian",0.0189354
"163",1,1,"Mammal","Artiodactyla","Tragelaphus angasii",58000,2.136265e-06,"Herbivore","Eutherian",0.12390337
"1274",1,1,"Mammal","Artiodactyla","Tragelaphus imberbis",110000,1.82e-07,"Herbivore","Eutherian",0.02002
"164",1,1,"Mammal","Artiodactyla","Tragelaphus scriptus",35475.8620689655,2.29802689655172e-06,"Herbivore","Eutherian",0.0815244852128419
"165",1,1,"Mammal","Artiodactyla","Tragelaphus spekei",87400,8.25e-05,"Herbivore","Eutherian",7.2105
